marriage,sex,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
single,male,no checking,4<x<21,delayed previously,business,250<x<4793,100<=X<500,1<=X<4,1,none,2,real estate,34,none,own,2,unskilled resident,1,none,yes,good
single,male,0<=X<200,4<x<21,critical/other existing credit,education,250<x<4793,>=1000,>=7,4,none,3,no known property,32,none,for free,2,skilled,2,none,yes,bad
div/dep/mar,female,no checking,4<x<21,existing paid,domestic appliance,250<x<4793,<100,<1,1,none,4,real estate,23,none,rent,1,skilled,1,yes,yes,good
div/dep/mar,female,0<=X<200,4<x<21,existing paid,furniture/equipment,250<x<4793,<100,1<=X<4,1,none,2,car,29,none,own,1,skilled,1,none,no,bad
single,male,no checking,4<x<21,critical/other existing credit,used car,250<x<4793,no known savings,unemployed,2,none,4,no known property,38,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
single,male,<0,4<x<21,no credits/all paid,radio/tv,4793<x<9337,<100,1<=X<4,4,none,2,life insurance,28,none,rent,2,skilled,1,yes,yes,bad
single,male,no checking,4<x<21,existing paid,education,250<x<4793,500<=X<1000,>=7,4,none,4,no known property,46,none,for free,1,skilled,1,yes,yes,good
single,male,0<=X<200,21<x<38,existing paid,new car,250<x<4793,<100,<1,4,none,2,real estate,23,stores,own,1,unskilled resident,1,none,yes,bad
single,male,no checking,4<x<21,critical/other existing credit,radio/tv,250<x<4793,no known savings,>=7,1,co applicant,4,real estate,49,none,own,1,skilled,1,yes,yes,good
single,male,no checking,21<x<38,delayed previously,radio/tv,250<x<4793,<100,1<=X<4,4,none,2,car,26,none,own,2,high qualif/self emp/mgmt,1,yes,yes,bad
mar/wid,male,no checking,4<x<21,existing paid,radio/tv,250<x<4793,<100,1<=X<4,4,none,2,real estate,28,none,own,1,skilled,1,none,yes,good
div/dep/mar,female,<0,21<x<38,existing paid,furniture/equipment,250<x<4793,<100,4<=X<7,4,none,4,real estate,23,none,rent,1,skilled,1,none,yes,bad
single,male,0<=X<200,4<x<21,existing paid,education,250<x<4793,no known savings,1<=X<4,4,none,4,no known property,61,none,for free,1,skilled,1,none,yes,good
single,male,>=200,4<x<21,existing paid,radio/tv,250<x<4793,no known savings,>=7,2,none,3,car,37,none,own,1,high qualif/self emp/mgmt,1,none,yes,good
div/dep/mar,female,>=200,4<x<21,delayed previously,new car,250<x<4793,<100,1<=X<4,2,none,2,car,36,stores,own,2,skilled,1,yes,yes,good
mar/wid,male,no checking,4<x<21,existing paid,furniture/equipment,250<x<4793,<100,1<=X<4,1,none,2,life insurance,21,none,rent,1,skilled,1,none,yes,good
single,male,<0,4<x<21,existing paid,furniture/equipment,250<x<4793,<100,unemployed,4,none,1,car,25,none,own,1,unemp/unskilled non res,1,none,yes,bad
single,male,no checking,4<x<21,existing paid,business,250<x<4793,<100,4<=X<7,2,none,4,car,36,none,own,1,skilled,1,yes,yes,good
single,male,no checking,4<x<21,critical/other existing credit,used car,250<x<4793,<100,4<=X<7,3,none,1,car,27,none,own,2,skilled,1,none,yes,good
div/dep/mar,female,<0,4<x<21,existing paid,furniture/equipment,250<x<4793,<100,<1,1,none,4,car,22,none,rent,1,skilled,1,none,yes,good
single,male,<0,21<x<38,existing paid,furniture/equipment,250<x<4793,<100,>=7,4,none,2,car,42,none,own,1,skilled,2,none,yes,bad
div/dep/mar,female,0<=X<200,4<x<21,existing paid,furniture/equipment,250<x<4793,<100,4<=X<7,2,none,4,real estate,40,none,rent,1,skilled,1,none,yes,good
single,male,no checking,21<x<38,existing paid,new car,250<x<4793,no known savings,1<=X<4,4,none,4,real estate,36,none,own,1,skilled,1,none,yes,good
single,male,no checking,4<x<21,critical/other existing credit,radio/tv,4793<x<9337,<100,>=7,3,none,4,car,33,none,own,2,skilled,1,yes,yes,good
div/dep/mar,female,no checking,4<x<21,critical/other existing credit,furniture/equipment,250<x<4793,<100,<1,1,none,3,real estate,23,none,rent,2,skilled,1,none,yes,good
single,male,no checking,55<x<72,critical/other existing credit,new car,9337<x<13880,no known savings,>=7,2,none,4,no known property,63,bank,for free,1,high qualif/self emp/mgmt,1,yes,yes,good
div/dep/mar,female,0<=X<200,55<x<72,all paid,other,13880<x<18424,100<=X<500,>=7,3,none,4,no known property,60,bank,for free,2,high qualif/self emp/mgmt,1,yes,yes,bad
div/dep/mar,female,<0,38<x<55,all paid,business,4793<x<9337,<100,4<=X<7,2,guarantor,4,car,37,none,rent,1,skilled,1,none,yes,bad
mar/wid,male,no checking,4<x<21,delayed previously,radio/tv,250<x<4793,<100,unemployed,2,none,3,real estate,34,none,own,2,skilled,1,none,yes,good
single,male,no checking,4<x<21,delayed previously,radio/tv,250<x<4793,no known savings,>=7,3,none,4,no known property,36,none,for free,1,skilled,1,none,yes,good
single,male,0<=X<200,21<x<38,existing paid,new car,13880<x<18424,<100,>=7,4,none,2,no known property,57,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad
div/dep/mar,female,no checking,4<x<21,critical/other existing credit,new car,250<x<4793,100<=X<500,1<=X<4,4,none,4,car,52,none,own,2,unskilled resident,1,none,yes,good
single,male,<0,4<x<21,existing paid,furniture/equipment,250<x<4793,no known savings,4<=X<7,4,none,4,car,39,none,own,1,skilled,1,yes,yes,good
div/dep/mar,female,0<=X<200,4<x<21,existing paid,used car,9337<x<13880,<100,unemployed,3,none,4,no known property,38,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad
div/dep/mar,female,no checking,21<x<38,existing paid,new car,250<x<4793,no known savings,4<=X<7,4,none,4,life insurance,25,none,rent,1,skilled,1,none,yes,good
single,male,>=200,4<x<21,existing paid,new car,250<x<4793,<100,<1,4,none,1,real estate,26,none,own,1,skilled,1,none,yes,good
single,male,no checking,21<x<38,delayed previously,business,250<x<4793,100<=X<500,1<=X<4,2,none,2,life insurance,26,none,own,2,unskilled resident,1,none,yes,good
div/dep/mar,female,no checking,4<x<21,critical/other existing credit,radio/tv,250<x<4793,<100,1<=X<4,2,none,1,car,25,none,own,2,skilled,1,none,yes,good
div/dep/mar,female,no checking,4<x<21,existing paid,radio/tv,250<x<4793,no known savings,<1,4,none,2,real estate,21,none,rent,1,skilled,1,yes,yes,good
single,male,0<=X<200,4<x<21,critical/other existing credit,furniture/equipment,4793<x<9337,<100,unemployed,4,none,4,life insurance,40,stores,own,2,high qualif/self emp/mgmt,1,yes,yes,good
single,male,0<=X<200,4<x<21,critical/other existing credit,business,250<x<4793,500<=X<1000,1<=X<4,2,none,4,car,27,bank,own,1,skilled,1,none,yes,good
div/dep/mar,female,no checking,4<x<21,existing paid,business,250<x<4793,<100,4<=X<7,3,none,2,car,27,none,own,2,skilled,1,none,yes,good
mar/wid,male,no checking,4<x<21,existing paid,new car,250<x<4793,<100,1<=X<4,2,none,2,life insurance,30,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
div/dep/mar,female,0<=X<200,4<x<21,existing paid,furniture/equipment,250<x<4793,>=1000,<1,1,none,4,real estate,19,none,rent,1,unskilled resident,1,none,yes,good
single,male,<0,21<x<38,existing paid,new car,250<x<4793,<100,4<=X<7,2,none,4,no known property,39,bank,for free,1,high qualif/self emp/mgmt,2,yes,yes,good
div/dep/mar,female,<0,4<x<21,critical/other existing credit,radio/tv,250<x<4793,<100,4<=X<7,1,none,4,car,31,none,own,1,skilled,1,none,yes,good
single,male,no checking,4<x<21,critical/other existing credit,furniture/equipment,250<x<4793,<100,unemployed,2,none,3,car,31,none,own,1,high qualif/self emp/mgmt,1,none,yes,good
single,male,0<=X<200,38<x<55,delayed previously,education,9337<x<13880,100<=X<500,4<=X<7,2,none,3,no known property,32,none,rent,1,skilled,1,yes,yes,good
div/dep/mar,female,<0,4<x<21,existing paid,furniture/equipment,250<x<4793,<100,unemployed,3,none,4,no known property,55,none,for free,1,high qualif/self emp/mgmt,1,none,yes,good
mar/wid,male,<0,21<x<38,critical/other existing credit,furniture/equipment,250<x<4793,<100,1<=X<4,3,none,2,life insurance,46,none,own,2,skilled,1,yes,yes,good
div/sep,male,0<=X<200,4<x<21,existing paid,new car,250<x<4793,<100,>=7,1,none,1,real estate,46,none,rent,2,skilled,1,none,yes,bad
div/dep/mar,female,no checking,21<x<38,critical/other existing credit,radio/tv,250<x<4793,>=1000,1<=X<4,4,none,1,real estate,43,none,own,2,unskilled resident,1,none,yes,good
mar/wid,male,no checking,4<x<21,existing paid,radio/tv,250<x<4793,<100,<1,3,none,4,real estate,39,none,own,1,skilled,1,yes,yes,good
mar/wid,male,0<=X<200,4<x<21,critical/other existing credit,business,250<x<4793,no known savings,1<=X<4,4,none,4,real estate,28,bank,own,2,skilled,1,none,yes,good
single,male,no checking,21<x<38,delayed previously,business,4793<x<9337,<100,<1,2,none,2,car,27,bank,own,2,skilled,1,yes,yes,bad
single,male,no checking,4<x<21,delayed previously,new car,250<x<4793,<100,1<=X<4,4,none,2,car,27,none,own,2,unskilled resident,1,none,yes,good
single,male,0<=X<200,4<x<21,delayed previously,new car,250<x<4793,no known savings,>=7,4,none,4,car,43,none,own,1,skilled,2,none,yes,good
mar/wid,male,0<=X<200,21<x<38,existing paid,radio/tv,250<x<4793,<100,<1,1,none,1,life insurance,22,none,own,1,skilled,1,yes,yes,bad
single,male,no checking,21<x<38,critical/other existing credit,used car,250<x<4793,no known savings,4<=X<7,4,none,4,car,43,none,own,2,skilled,2,yes,yes,good
mar/wid,male,<0,4<x<21,existing paid,radio/tv,250<x<4793,<100,<1,4,none,2,real estate,27,none,own,1,skilled,1,none,no,good
div/sep,male,no checking,21<x<38,existing paid,radio/tv,250<x<4793,500<=X<1000,>=7,3,none,2,car,26,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
mar/wid,male,>=200,4<x<21,critical/other existing credit,new car,250<x<4793,500<=X<1000,4<=X<7,4,none,2,real estate,28,none,own,3,skilled,1,yes,yes,bad
div/dep/mar,female,0<=X<200,21<x<38,existing paid,radio/tv,250<x<4793,<100,>=7,4,none,4,car,20,none,own,1,skilled,1,yes,yes,good
single,male,no checking,21<x<38,critical/other existing credit,used car,4793<x<9337,<100,4<=X<7,3,none,2,car,35,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good
single,male,no checking,4<x<21,critical/other existing credit,business,250<x<4793,<100,unemployed,4,none,2,car,42,stores,own,2,high qualif/self emp/mgmt,1,yes,yes,bad
single,male,no checking,4<x<21,existing paid,new car,250<x<4793,500<=X<1000,1<=X<4,3,none,2,no known property,40,none,rent,1,unskilled resident,2,none,no,good
div/dep/mar,female,<0,21<x<38,existing paid,new car,250<x<4793,no known savings,1<=X<4,4,none,2,life insurance,35,none,own,1,skilled,1,none,yes,bad
single,male,no checking,21<x<38,critical/other existing credit,used car,4793<x<9337,<100,>=7,2,none,2,life insurance,35,none,own,2,skilled,2,yes,yes,good
single,male,<0,4<x<21,existing paid,new car,250<x<4793,<100,<1,4,none,1,real estate,33,none,own,1,unskilled resident,2,none,yes,bad
div/dep/mar,female,<0,4<x<21,delayed previously,education,4793<x<9337,no known savings,1<=X<4,1,none,2,car,23,none,rent,2,skilled,1,yes,yes,good
div/dep/mar,female,no checking,4<x<21,existing paid,new car,250<x<4793,500<=X<1000,4<=X<7,1,none,2,car,31,bank,own,1,high qualif/self emp/mgmt,1,none,yes,good
div/dep/mar,female,0<=X<200,4<x<21,existing paid,new car,250<x<4793,no known savings,1<=X<4,4,none,2,life insurance,33,none,own,1,skilled,1,none,yes,bad
div/dep/mar,female,no checking,4<x<21,existing paid,new car,250<x<4793,>=1000,4<=X<7,2,none,3,car,20,none,rent,1,skilled,1,none,yes,good
single,male,0<=X<200,4<x<21,existing paid,used car,250<x<4793,no known savings,1<=X<4,4,none,2,car,30,none,own,1,skilled,1,none,yes,good
single,male,0<=X<200,4<x<21,critical/other existing credit,new car,250<x<4793,<100,4<=X<7,2,none,3,real estate,47,none,own,2,unskilled resident,2,none,yes,good
single,male,no checking,4<x<21,delayed previously,furniture/equipment,250<x<4793,100<=X<500,4<=X<7,4,none,3,real estate,34,none,own,2,high qualif/self emp/mgmt,1,none,yes,good
div/dep/mar,female,0<=X<200,4<x<21,existing paid,furniture/equipment,250<x<4793,no known savings,>=7,1,none,2,life insurance,25,bank,own,1,skilled,1,yes,yes,bad
mar/wid,male,0<=X<200,4<x<21,existing paid,used car,250<x<4793,<100,1<=X<4,1,none,3,car,21,none,rent,1,skilled,1,yes,yes,good
single,male,no checking,21<x<38,critical/other existing credit,radio/tv,250<x<4793,<100,>=7,4,none,2,car,29,none,own,2,skilled,1,none,yes,good
single,male,no checking,4<x<21,critical/other existing credit,radio/tv,250<x<4793,>=1000,1<=X<4,4,none,3,real estate,46,none,own,2,skilled,1,none,yes,good
single,male,no checking,4<x<21,existing paid,furniture/equipment,250<x<4793,<100,>=7,1,none,4,car,20,none,own,1,skilled,1,none,yes,good
div/dep/mar,female,<0,4<x<21,critical/other existing credit,repairs,250<x<4793,<100,unemployed,2,none,4,no known property,55,none,for free,3,unemp/unskilled non res,2,none,yes,bad
single,male,no checking,4<x<21,existing paid,business,250<x<4793,<100,4<=X<7,1,none,4,real estate,74,none,own,1,unskilled resident,1,none,yes,good
single,male,0<=X<200,21<x<38,existing paid,other,9337<x<13880,<100,1<=X<4,2,co applicant,3,car,29,bank,own,2,high qualif/self emp/mgmt,1,yes,yes,bad
single,male,<0,4<x<21,critical/other existing credit,furniture/equipment,250<x<4793,<100,unemployed,4,none,4,no known property,36,none,for free,3,high qualif/self emp/mgmt,1,yes,yes,good
div/sep,male,no checking,21<x<38,critical/other existing credit,repairs,250<x<4793,<100,1<=X<4,4,none,2,real estate,33,none,own,2,skilled,1,yes,yes,good
single,male,<0,4<x<21,existing paid,furniture/equipment,250<x<4793,<100,1<=X<4,3,none,2,real estate,25,none,own,1,skilled,1,none,yes,good
mar/wid,male,0<=X<200,4<x<21,existing paid,radio/tv,250<x<4793,no known savings,1<=X<4,2,none,1,real estate,25,none,own,1,skilled,1,yes,yes,bad
mar/wid,male,no checking,4<x<21,existing paid,repairs,250<x<4793,500<=X<1000,4<=X<7,2,none,4,real estate,23,none,rent,1,unskilled resident,1,none,yes,good
div/dep/mar,female,no checking,21<x<38,critical/other existing credit,new car,250<x<4793,>=1000,>=7,4,none,4,real estate,37,none,own,2,skilled,1,yes,yes,good
single,male,<0,38<x<55,critical/other existing credit,repairs,250<x<4793,<100,unemployed,4,co applicant,4,car,65,none,own,2,unemp/unskilled non res,1,none,yes,good
div/dep/mar,female,>=200,4<x<21,all paid,business,250<x<4793,<100,<1,4,none,1,real estate,26,none,own,1,unemp/unskilled non res,1,none,yes,bad
single,male,no checking,4<x<21,existing paid,new car,250<x<4793,<100,>=7,4,none,4,car,39,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
div/dep/mar,female,<0,4<x<21,existing paid,furniture/equipment,250<x<4793,<100,1<=X<4,2,co applicant,3,life insurance,30,none,own,1,skilled,1,none,yes,good
single,male,0<=X<200,4<x<21,delayed previously,other,250<x<4793,<100,1<=X<4,2,none,3,car,29,bank,own,2,skilled,1,yes,yes,good
single,male,no checking,4<x<21,existing paid,education,250<x<4793,<100,>=7,4,none,4,car,41,bank,own,1,unskilled resident,2,none,yes,bad
div/dep/mar,female,0<=X<200,38<x<55,critical/other existing credit,furniture/equipment,4793<x<9337,<100,1<=X<4,2,none,3,car,30,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
div/dep/mar,female,no checking,4<x<21,critical/other existing credit,education,250<x<4793,no known savings,>=7,4,none,4,life insurance,41,none,rent,2,unskilled resident,1,none,yes,good
div/dep/mar,female,<0,21<x<38,existing paid,new car,250<x<4793,<100,<1,4,none,4,car,34,none,own,1,skilled,1,yes,yes,bad
single,male,0<=X<200,4<x<21,existing paid,radio/tv,250<x<4793,<100,1<=X<4,2,guarantor,2,real estate,35,none,own,1,skilled,1,none,yes,good
div/dep/mar,female,>=200,4<x<21,existing paid,furniture/equipment,250<x<4793,no known savings,>=7,3,none,4,real estate,55,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
mar/wid,male,0<=X<200,4<x<21,delayed previously,repairs,250<x<4793,>=1000,1<=X<4,3,none,3,life insurance,61,stores,own,2,skilled,1,none,yes,bad
single,male,no checking,21<x<38,critical/other existing credit,used car,9337<x<13880,no known savings,1<=X<4,4,none,2,car,30,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
div/dep/mar,female,no checking,4<x<21,existing paid,radio/tv,250<x<4793,<100,1<=X<4,3,none,1,real estate,29,none,own,1,skilled,1,none,yes,good
single,male,no checking,4<x<21,no credits/all paid,furniture/equipment,250<x<4793,<100,>=7,2,none,4,life insurance,34,none,own,2,skilled,1,none,yes,good
single,male,no checking,21<x<38,existing paid,used car,250<x<4793,<100,>=7,4,none,4,car,35,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
single,male,<0,21<x<38,existing paid,new car,4793<x<9337,<100,4<=X<7,2,co applicant,3,life insurance,31,none,own,1,skilled,1,yes,yes,bad
div/dep/mar,female,no checking,21<x<38,existing paid,used car,250<x<4793,<100,<1,4,none,1,no known property,29,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
single,male,<0,4<x<21,critical/other existing credit,new car,250<x<4793,<100,1<=X<4,2,none,2,real estate,36,none,rent,2,skilled,2,none,yes,good
single,male,<0,4<x<21,existing paid,used car,250<x<4793,<100,>=7,3,none,4,no known property,35,none,for free,1,skilled,1,yes,yes,bad
div/dep/mar,female,<0,4<x<21,existing paid,domestic appliance,250<x<4793,<100,<1,4,none,1,real estate,27,none,own,1,skilled,1,none,yes,good
single,male,no checking,4<x<21,existing paid,radio/tv,250<x<4793,<100,<1,3,none,2,car,32,none,own,1,skilled,1,yes,yes,good
single,male,<0,21<x<38,existing paid,furniture/equipment,250<x<4793,<100,1<=X<4,1,guarantor,2,life insurance,37,none,own,1,skilled,2,none,yes,good
single,male,<0,4<x<21,existing paid,new car,250<x<4793,<100,<1,2,none,3,real estate,36,none,own,1,skilled,1,none,yes,good
div/dep/mar,female,0<=X<200,4<x<21,existing paid,furniture/equipment,250<x<4793,<100,<1,3,none,1,real estate,34,none,rent,1,high qualif/self emp/mgmt,1,none,yes,good
single,male,0<=X<200,4<x<21,existing paid,retraining,250<x<4793,no known savings,>=7,4,none,4,life insurance,38,none,own,2,skilled,1,none,yes,good
single,male,no checking,4<x<21,existing paid,business,250<x<4793,<100,4<=X<7,4,none,1,car,34,stores,own,2,skilled,1,yes,yes,good
single,male,<0,21<x<38,existing paid,used car,250<x<4793,<100,1<=X<4,3,guarantor,4,no known property,63,bank,own,1,skilled,2,yes,yes,good
div/dep/mar,female,<0,21<x<38,delayed previously,radio/tv,250<x<4793,<100,<1,4,none,2,car,29,none,rent,1,unskilled resident,1,yes,yes,bad
single,male,no checking,38<x<55,delayed previously,radio/tv,4793<x<9337,no known savings,>=7,3,none,3,car,32,bank,own,2,skilled,2,none,yes,good
div/dep/mar,female,no checking,21<x<38,delayed previously,business,250<x<4793,<100,1<=X<4,2,none,2,car,26,none,own,2,skilled,1,yes,yes,good
single,male,no checking,21<x<38,delayed previously,used car,250<x<4793,<100,4<=X<7,3,none,3,car,35,none,own,2,unskilled resident,1,yes,yes,good
mar/wid,male,0<=X<200,21<x<38,existing paid,radio/tv,250<x<4793,100<=X<500,<1,3,none,2,car,22,none,rent,1,skilled,1,yes,yes,bad
div/dep/mar,female,<0,4<x<21,existing paid,education,250<x<4793,<100,<1,4,none,4,life insurance,23,none,own,1,skilled,1,none,yes,bad
single,male,<0,4<x<21,existing paid,new car,250<x<4793,<100,1<=X<4,4,none,3,car,28,none,own,1,unskilled resident,1,none,yes,bad
single,male,no checking,4<x<21,existing paid,retraining,250<x<4793,no known savings,unemployed,4,none,4,life insurance,36,none,own,1,high qualif/self emp/mgmt,2,yes,yes,good
mar/wid,male,0<=X<200,4<x<21,critical/other existing credit,radio/tv,250<x<4793,<100,1<=X<4,4,none,2,car,33,none,own,1,skilled,1,none,yes,bad
div/dep/mar,female,<0,4<x<21,no credits/all paid,furniture/equipment,250<x<4793,<100,<1,1,none,4,life insurance,26,none,rent,1,skilled,1,none,yes,bad
single,male,no checking,38<x<55,existing paid,used car,250<x<4793,500<=X<1000,1<=X<4,4,none,4,car,24,none,own,1,skilled,1,none,yes,good
single,male,>=200,21<x<38,existing paid,radio/tv,4793<x<9337,<100,4<=X<7,4,none,2,car,25,bank,own,1,skilled,1,none,yes,good
single,male,0<=X<200,4<x<21,existing paid,business,250<x<4793,100<=X<500,4<=X<7,3,none,4,real estate,39,none,own,1,unskilled resident,1,none,yes,good
single,male,<0,4<x<21,critical/other existing credit,furniture/equipment,250<x<4793,<100,>=7,4,none,4,car,44,none,own,2,skilled,2,yes,yes,good
div/dep/mar,female,0<=X<200,4<x<21,critical/other existing credit,radio/tv,250<x<4793,<100,1<=X<4,1,none,1,real estate,23,none,own,1,unskilled resident,1,none,yes,good
single,male,0<=X<200,21<x<38,existing paid,new car,250<x<4793,<100,<1,4,none,1,life insurance,26,none,own,1,skilled,1,none,yes,good
div/dep/mar,female,<0,21<x<38,existing paid,furniture/equipment,250<x<4793,>=1000,>=7,4,none,4,life insurance,57,none,rent,2,skilled,1,yes,yes,good
div/dep/mar,female,no checking,4<x<21,delayed previously,furniture/equipment,250<x<4793,>=1000,4<=X<7,3,none,2,life insurance,30,none,own,2,skilled,1,none,yes,good
single,male,no checking,4<x<21,critical/other existing credit,new car,250<x<4793,500<=X<1000,1<=X<4,4,none,4,real estate,44,none,own,1,skilled,1,yes,yes,good
single,male,0<=X<200,4<x<21,delayed previously,new car,250<x<4793,<100,unemployed,4,none,4,life insurance,47,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
single,male,no checking,4<x<21,existing paid,radio/tv,250<x<4793,<100,1<=X<4,2,none,4,car,52,none,own,1,skilled,1,yes,yes,good
div/dep/mar,female,no checking,21<x<38,existing paid,new car,250<x<4793,<100,>=7,4,co applicant,4,no known property,62,none,for free,1,skilled,1,yes,yes,good
single,male,no checking,4<x<21,existing paid,new car,250<x<4793,100<=X<500,1<=X<4,3,none,2,real estate,35,none,rent,1,unskilled resident,1,none,no,good
single,male,no checking,4<x<21,existing paid,new car,250<x<4793,<100,1<=X<4,2,guarantor,3,life insurance,26,none,rent,1,skilled,1,none,yes,good
single,male,no checking,4<x<21,critical/other existing credit,radio/tv,250<x<4793,<100,>=7,2,none,2,no known property,26,none,own,2,skilled,1,none,yes,good
div/dep/mar,female,0<=X<200,21<x<38,no credits/all paid,business,4793<x<9337,<100,>=7,2,none,4,no known property,42,none,for free,2,high qualif/self emp/mgmt,1,yes,yes,bad
div/dep/mar,female,no checking,4<x<21,critical/other existing credit,radio/tv,250<x<4793,100<=X<500,1<=X<4,1,none,1,life insurance,27,none,own,2,skilled,1,none,yes,good
single,male,0<=X<200,4<x<21,existing paid,radio/tv,250<x<4793,no known savings,>=7,4,none,4,life insurance,38,none,own,1,skilled,1,none,yes,good
single,male,<0,4<x<21,critical/other existing credit,new car,250<x<4793,<100,1<=X<4,3,none,2,real estate,39,none,rent,2,unskilled resident,2,none,no,good
mar/wid,male,<0,21<x<38,existing paid,furniture/equipment,250<x<4793,no known savings,1<=X<4,2,none,4,car,20,none,own,1,skilled,1,none,yes,bad
single,male,0<=X<200,21<x<38,existing paid,furniture/equipment,4793<x<9337,100<=X<500,<1,4,co applicant,1,no known property,29,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,bad
single,male,no checking,21<x<38,critical/other existing credit,furniture/equipment,250<x<4793,<100,4<=X<7,4,none,3,life insurance,40,none,own,2,skilled,1,none,yes,good
mar/wid,male,0<=X<200,4<x<21,existing paid,radio/tv,250<x<4793,<100,>=7,4,guarantor,2,real estate,32,none,own,1,unskilled resident,1,none,yes,good
div/sep,male,>=200,4<x<21,critical/other existing credit,new car,250<x<4793,100<=X<500,>=7,2,none,4,car,28,none,own,2,skilled,2,yes,yes,good
div/dep/mar,female,<0,21<x<38,existing paid,new car,250<x<4793,<100,<1,4,none,1,life insurance,27,none,own,1,skilled,1,none,yes,bad
single,male,<0,21<x<38,existing paid,used car,4793<x<9337,<100,>=7,2,none,4,no known property,42,none,for free,1,skilled,2,none,yes,good
div/sep,male,>=200,4<x<21,existing paid,radio/tv,250<x<4793,100<=X<500,>=7,2,none,4,real estate,49,none,own,1,skilled,1,none,yes,good
single,male,0<=X<200,21<x<38,critical/other existing credit,radio/tv,250<x<4793,100<=X<500,<1,4,none,4,no known property,38,bank,own,2,skilled,2,none,yes,bad
div/dep/mar,female,<0,21<x<38,existing paid,new car,250<x<4793,<100,<1,4,none,4,life insurance,24,none,rent,1,skilled,1,none,yes,bad
single,male,no checking,4<x<21,existing paid,new car,250<x<4793,no known savings,1<=X<4,4,guarantor,4,life insurance,27,none,own,1,unskilled resident,1,none,yes,bad
single,male,>=200,4<x<21,critical/other existing credit,used car,250<x<4793,500<=X<1000,1<=X<4,2,none,2,car,36,none,own,1,skilled,1,yes,yes,good
single,male,0<=X<200,4<x<21,all paid,new car,4793<x<9337,100<=X<500,unemployed,1,none,2,life insurance,34,none,own,1,high qualif/self emp/mgmt,2,yes,yes,bad
mar/wid,male,no checking,21<x<38,existing paid,radio/tv,250<x<4793,<100,1<=X<4,4,none,2,life insurance,28,none,own,1,skilled,1,none,yes,good
single,male,no checking,38<x<55,existing paid,used car,4793<x<9337,100<=X<500,>=7,4,none,2,car,45,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
single,male,<0,4<x<21,existing paid,new car,250<x<4793,<100,4<=X<7,4,none,2,real estate,26,none,own,1,skilled,1,none,yes,bad
single,male,no checking,21<x<38,existing paid,used car,250<x<4793,<100,1<=X<4,2,none,2,no known property,32,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,good
single,male,>=200,4<x<21,existing paid,business,250<x<4793,<100,4<=X<7,2,none,4,life insurance,26,none,rent,1,skilled,1,yes,yes,good
mar/wid,male,0<=X<200,4<x<21,delayed previously,radio/tv,250<x<4793,<100,1<=X<4,4,co applicant,4,real estate,20,none,rent,2,skilled,1,none,yes,good
single,male,no checking,21<x<38,existing paid,new car,250<x<4793,no known savings,<1,4,none,1,life insurance,54,none,own,1,skilled,1,none,yes,good
div/dep/mar,female,<0,4<x<21,critical/other existing credit,new car,250<x<4793,<100,4<=X<7,4,none,3,life insurance,37,none,own,2,skilled,1,none,no,good
single,male,<0,4<x<21,critical/other existing credit,new car,250<x<4793,<100,<1,2,none,4,real estate,40,none,own,1,unskilled resident,2,none,no,good
div/dep/mar,female,no checking,21<x<38,critical/other existing credit,furniture/equipment,4793<x<9337,<100,<1,2,none,4,life insurance,23,none,rent,2,skilled,1,yes,yes,bad
single,male,<0,4<x<21,existing paid,new car,250<x<4793,100<=X<500,>=7,3,none,2,life insurance,43,none,own,1,skilled,1,yes,yes,good
single,male,no checking,4<x<21,critical/other existing credit,radio/tv,250<x<4793,no known savings,>=7,4,none,4,no known property,36,none,for free,2,skilled,1,none,yes,good
single,male,no checking,21<x<38,critical/other existing credit,repairs,4793<x<9337,<100,>=7,3,none,4,no known property,44,none,for free,2,skilled,1,none,yes,good
div/dep/mar,female,<0,4<x<21,existing paid,radio/tv,250<x<4793,<100,1<=X<4,2,none,2,real estate,24,none,own,1,skilled,1,none,yes,bad
single,male,<0,38<x<55,no credits/all paid,furniture/equipment,4793<x<9337,<100,1<=X<4,3,none,4,no known property,53,none,for free,2,skilled,2,none,yes,bad
div/dep/mar,female,no checking,21<x<38,existing paid,used car,250<x<4793,100<=X<500,4<=X<7,3,none,4,car,23,none,own,1,skilled,1,none,yes,good
