id,credit_history,purpose,savings_status,other_parties,property_magnitude,other_payment_plans,housing,job,own_telephone,foreign_worker,gender,status,duration,credit_amount,installment_commitment,residence_since,age,existing_credits,num_dependents,checking_status,employment,class
933,all paid,new car,'<100',none,life insurance,stores,own,'unemp/unskilled non res',yes,yes,'female,div/sep,9,9271,2,2,30,2,2,'no checking','4<=X<7',1
934,'delayed previously',other,'>=1000',none,'no known property',stores,rent,unskilled resident,none,yes,female,div/sep',8,7721,2,1,46,1,1,'0<=X<200',4<=X<7,1
935,existing paid,new car,'>=1000',none,no known property,bank,rent,skilled,none,yes,female,mar/wid',10,6850,3,1,28,1,1,0<=X<200,>=7,1
936,'delayed previously',furniture/equipment,<100,none,'no known property',stores,for free,unemp/unskilled non res,none,no,female,div/dep/mar',13,2745,4,3,30,3,2,'<0',4<=X<7,1
937,delayed previously,other,no known savings,guarantor,'real estate',bank,'for free','unskilled resident',yes,no,male,single',27,2901,4,2,39,1,2,'no checking','<1',1
938,'all paid','new car','no known savings',guarantor,no known property,bank,'for free','unskilled resident',none,no,female,div/sep',11,1881,1,1,55,1,2,0<=X<200,>=7,1
939,'existing paid',retraining,'100<=X<500',co applicant,'no known property',bank,own,unemp/unskilled non res,none,yes,'male,single',16,1444,4,3,34,1,2,'<0','4<=X<7',1
940,existing paid,'new car',>=1000,none,'life insurance',stores,'for free',unskilled resident,yes,no,male,mar/wid',33,3621,3,2,67,2,1,<0,4<=X<7,1
941,delayed previously,'used car','<100',guarantor,'no known property',stores,for free,'high qualif/self emp/mgmt',none,no,male,div/sep',21,4272,1,4,62,1,2,<0,unemployed,1
942,'delayed previously',business,'<100',none,no known property,bank,'for free',high qualif/self emp/mgmt,yes,no,female,div/dep/mar',21,4042,1,1,68,1,1,'<0','1<=X<4',1
943,all paid,'new car',100<=X<500,co applicant,life insurance,none,rent,'unemp/unskilled non res',yes,yes,male,div/dep/mar',26,1169,1,4,23,2,1,'<0',<1,0
944,'no credits/all paid',retraining,100<=X<500,guarantor,'real estate',bank,'for free','unskilled resident',yes,no,male,mar/wid',24,1819,4,4,21,2,1,no checking,<1,1
945,critical/other existing credit,new car,<100,'co applicant',life insurance,none,'for free','unemp/unskilled non res',yes,yes,'male,div/dep/mar,18,3518,3,4,53,3,2,'<0','>=7',1
946,'delayed previously',business,'500<=X<1000',co applicant,'life insurance',none,rent,high qualif/self emp/mgmt,yes,yes,female,single',30,1038,4,4,55,1,1,>=200,unemployed,1
947,all paid,'used car','100<=X<500',co applicant,'real estate',stores,for free,skilled,none,no,'female,single,47,804,1,4,47,1,1,<0,'>=7',0
948,critical/other existing credit,used car,'500<=X<1000','co applicant','no known property',stores,for free,'high qualif/self emp/mgmt',yes,no,'female,single',9,10144,3,3,46,2,1,>=200,'>=7',0
949,no credits/all paid,domestic appliance,>=1000,none,no known property,bank,own,unskilled resident,yes,yes,'female,single',5,1442,3,1,38,3,1,no checking,'>=7',0
950,'existing paid','new car',no known savings,none,no known property,none,'for free',unskilled resident,yes,no,'male,div/sep,48,1236,2,3,19,4,2,0<=X<200,'4<=X<7',1
951,all paid,'domestic appliance','no known savings',co applicant,car,none,rent,'unskilled resident',none,no,'female,single',10,5117,3,2,24,3,1,>=200,4<=X<7,1
952,all paid,other,100<=X<500,none,car,bank,for free,'high qualif/self emp/mgmt',yes,no,male,div/sep',15,2246,2,2,48,1,2,'>=200','<1',1
953,no credits/all paid,other,'no known savings','co applicant','life insurance',none,for free,'high qualif/self emp/mgmt',yes,no,'male,div/dep/mar,13,18424,3,2,27,2,1,'<0',4<=X<7,1
954,'all paid','used car','100<=X<500','co applicant',car,none,own,'unskilled resident',none,yes,male,div/dep/mar',36,4594,1,4,65,3,1,no checking,unemployed,1
955,existing paid,furniture/equipment,'no known savings',co applicant,no known property,bank,'for free',high qualif/self emp/mgmt,yes,no,female,single',15,7409,4,3,47,3,1,no checking,'4<=X<7',1
956,critical/other existing credit,furniture/equipment,>=1000,guarantor,'real estate',stores,'for free',unskilled resident,yes,no,'male,div/sep,33,1103,3,2,28,4,2,'0<=X<200','4<=X<7',1
957,no credits/all paid,business,'no known savings',none,real estate,bank,'for free',unemp/unskilled non res,none,yes,female,single,9,8947,1,2,44,4,2,<0,>=7,1
958,'delayed previously',retraining,no known savings,co applicant,car,bank,rent,'high qualif/self emp/mgmt',none,no,'male,div/sep',11,3512,3,4,43,4,1,no checking,'4<=X<7',1
959,delayed previously,used car,'no known savings',guarantor,life insurance,none,rent,'unskilled resident',none,yes,male,single',39,9271,3,4,75,2,1,'0<=X<200','>=7',1
960,'all paid',business,100<=X<500,none,car,none,'for free',unemp/unskilled non res,none,no,'female,mar/wid,60,5433,4,2,49,3,2,>=200,'<1',1
961,delayed previously,furniture/equipment,<100,co applicant,no known property,stores,rent,'high qualif/self emp/mgmt',none,yes,'male,single',24,1188,3,1,67,1,2,0<=X<200,<1,1
962,no credits/all paid,repairs,'500<=X<1000',co applicant,car,stores,'for free',high qualif/self emp/mgmt,none,no,male,mar/wid,20,841,3,3,62,4,2,0<=X<200,4<=X<7,0
963,no credits/all paid,domestic appliance,'100<=X<500','co applicant',real estate,bank,for free,'unskilled resident',none,yes,'female,div/dep/mar',12,7308,3,2,61,4,2,0<=X<200,<1,1
964,delayed previously,domestic appliance,'<100','co applicant',no known property,none,rent,skilled,none,yes,male,div/dep/mar',10,3149,2,4,52,4,1,'no checking',>=7,1
965,'delayed previously',radio/tv,>=1000,guarantor,'life insurance',stores,own,unemp/unskilled non res,yes,no,female,single,42,5234,3,4,50,4,1,'no checking',4<=X<7,1
966,'critical/other existing credit',furniture/equipment,'500<=X<1000',none,car,stores,'for free',high qualif/self emp/mgmt,yes,yes,'male,single',10,2820,2,1,70,4,2,>=200,'1<=X<4',1
967,existing paid,repairs,>=1000,'co applicant',car,stores,'for free',unskilled resident,yes,no,female,single',33,1768,1,4,23,1,1,no checking,unemployed,1
968,'existing paid',domestic appliance,500<=X<1000,co applicant,car,stores,for free,'unemp/unskilled non res',none,yes,'female,mar/wid,7,1278,3,1,19,1,2,<0,'>=7',0
969,'critical/other existing credit',education,'500<=X<1000','co applicant',real estate,none,'for free',skilled,yes,yes,female,div/dep/mar,30,1412,3,3,57,4,2,no checking,>=7,1
970,'all paid',repairs,100<=X<500,co applicant,life insurance,none,'for free','unskilled resident',yes,yes,female,single',14,12680,3,2,66,2,2,'no checking',<1,1
971,'all paid',education,>=1000,guarantor,'no known property',bank,rent,skilled,yes,yes,female,single',9,804,1,4,55,4,2,>=200,1<=X<4,1
972,no credits/all paid,new car,'100<=X<500',none,life insurance,stores,'for free','unskilled resident',none,yes,'female,single',11,3552,3,4,35,1,2,'>=200',<1,0
973,'delayed previously','domestic appliance',no known savings,co applicant,car,stores,rent,high qualif/self emp/mgmt,none,no,male,div/dep/mar,42,8229,4,4,20,3,1,>=200,4<=X<7,1
974,all paid,other,'<100',guarantor,'life insurance',none,rent,'unskilled resident',none,yes,male,single',27,1647,1,3,48,1,2,<0,'4<=X<7',1
975,'delayed previously',furniture/equipment,no known savings,'co applicant',life insurance,stores,'for free',high qualif/self emp/mgmt,none,yes,'male,single',26,3441,3,3,40,4,1,'no checking',>=7,1
976,delayed previously,'domestic appliance','500<=X<1000',none,real estate,bank,'for free','high qualif/self emp/mgmt',yes,yes,male,single',16,454,1,2,38,3,1,'no checking',unemployed,1
977,'existing paid',used car,'>=1000',guarantor,'no known property',none,'for free',unemp/unskilled non res,none,no,'male,div/dep/mar',4,14782,3,3,20,2,1,>=200,'>=7',1
978,'no credits/all paid',retraining,'100<=X<500',none,life insurance,stores,for free,'unemp/unskilled non res',none,yes,'female,mar/wid,30,3758,3,3,24,4,2,<0,'1<=X<4',1
979,critical/other existing credit,other,100<=X<500,co applicant,'real estate',bank,rent,high qualif/self emp/mgmt,none,no,female,mar/wid',8,1355,2,4,21,3,1,no checking,'<1',1
980,'existing paid',new car,'100<=X<500','co applicant',car,bank,for free,high qualif/self emp/mgmt,none,no,'female,div/dep/mar',30,4370,2,2,51,3,2,'no checking',4<=X<7,1
981,'delayed previously','used car','500<=X<1000',co applicant,car,bank,own,'unskilled resident',yes,no,female,mar/wid,26,6999,4,2,75,3,2,'0<=X<200','<1',1
982,'no credits/all paid','used car',>=1000,co applicant,'life insurance',bank,'for free',unemp/unskilled non res,yes,no,'male,div/dep/mar',6,3915,1,4,70,3,1,'no checking','>=7',1
983,critical/other existing credit,'new car',500<=X<1000,guarantor,real estate,bank,for free,skilled,none,yes,male,div/sep',13,6260,2,4,29,2,1,'<0',4<=X<7,1
984,'all paid',retraining,'500<=X<1000',guarantor,'life insurance',stores,own,unemp/unskilled non res,yes,no,female,div/sep,28,1740,1,1,59,3,2,>=200,<1,1
985,critical/other existing credit,repairs,100<=X<500,co applicant,'no known property',none,own,high qualif/self emp/mgmt,none,no,'male,mar/wid,11,6331,4,2,28,1,1,<0,1<=X<4,1
986,'critical/other existing credit','used car','no known savings',none,'real estate',bank,for free,high qualif/self emp/mgmt,yes,no,'male,mar/wid,18,1495,3,2,23,1,2,>=200,'<1',1
987,'no credits/all paid','new car',500<=X<1000,co applicant,'real estate',bank,for free,'high qualif/self emp/mgmt',yes,yes,female,single,28,6527,3,2,57,4,2,'<0','>=7',0
988,delayed previously,domestic appliance,no known savings,co applicant,no known property,bank,own,unskilled resident,yes,no,'female,single',13,719,4,2,63,2,2,no checking,'<1',1
989,'delayed previously','used car','100<=X<500','co applicant','no known property',none,'for free',unemp/unskilled non res,yes,no,female,mar/wid,4,10875,3,2,32,4,1,'0<=X<200',4<=X<7,0
990,existing paid,new car,'100<=X<500',none,car,bank,for free,'unskilled resident',none,yes,female,div/dep/mar,20,1082,2,4,33,4,2,'<0','4<=X<7',1
991,'no credits/all paid',radio/tv,no known savings,none,'real estate',none,own,'high qualif/self emp/mgmt',none,no,female,div/dep/mar',21,976,3,1,56,1,2,'0<=X<200','>=7',1
992,all paid,business,'no known savings',guarantor,no known property,none,for free,unskilled resident,none,no,male,div/sep',16,939,3,1,46,4,1,'>=200','<1',1
993,critical/other existing credit,retraining,no known savings,none,'real estate',stores,'for free',high qualif/self emp/mgmt,yes,no,'male,div/sep',15,2273,2,1,33,1,2,no checking,'<1',1
994,critical/other existing credit,furniture/equipment,'500<=X<1000','co applicant','real estate',none,own,'high qualif/self emp/mgmt',none,yes,'male,div/sep',47,3160,4,4,65,1,2,'no checking',unemployed,1
995,'existing paid',retraining,'<100',co applicant,'real estate',none,for free,unemp/unskilled non res,none,yes,'male,mar/wid,16,1449,1,4,32,1,1,<0,4<=X<7,1
996,'no credits/all paid','new car','100<=X<500',co applicant,'no known property',stores,rent,unemp/unskilled non res,none,yes,'male,div/sep,42,1193,1,3,53,2,1,<0,1<=X<4,0
997,'critical/other existing credit',education,'>=1000','co applicant',no known property,bank,own,'unemp/unskilled non res',yes,no,'male,single,13,2221,2,1,55,2,1,'0<=X<200','1<=X<4',1
998,all paid,'new car','500<=X<1000',none,life insurance,stores,'for free','high qualif/self emp/mgmt',yes,yes,'female,mar/wid,60,1048,3,3,45,1,2,'>=200','4<=X<7',0
999,all paid,'used car',>=1000,guarantor,'no known property',none,for free,skilled,none,yes,male,mar/wid,36,1459,2,4,31,4,1,<0,'4<=X<7',1
0,'critical/other existing credit',new car,'>=1000','co applicant',no known property,bank,'for free','unskilled resident',none,no,'female,div/sep',4<x<21,x>13887,x<1,x>3,19<x<33,x>3,x>1,'<0',unemployed,1
1,'delayed previously',domestic appliance,'>=1000','co applicant',real estate,stores,'for free',high qualif/self emp/mgmt,yes,no,male,mar/wid',4<x<21,276<x<4813,2<x<3,x<1,33<x<47,1<x<2,x<1,no checking,>=7,1
2,no credits/all paid,education,'no known savings',guarantor,'no known property',none,'for free',high qualif/self emp/mgmt,yes,yes,'male,single',21<x<38,276<x<4813,1<x<2,x>3,x>61,x>3,x>1,<0,4<=X<7,0
3,existing paid,furniture/equipment,500<=X<1000,guarantor,life insurance,bank,own,'unemp/unskilled non res',none,no,male,div/sep',x>55,276<x<4813,2<x<3,2<x<3,33<x<47,x<1,x>1,0<=X<200,'>=7',0
4,'critical/other existing credit',repairs,'no known savings',guarantor,no known property,stores,rent,unskilled resident,none,no,'male,mar/wid,4<x<21,276<x<4813,1<x<2,1<x<2,19<x<33,1<x<2,x<1,'>=200',4<=X<7,1
5,'delayed previously',business,'>=1000',none,'life insurance',none,own,'high qualif/self emp/mgmt',yes,no,'male,div/dep/mar,4<x<21,276<x<4813,2<x<3,1<x<2,x>61,x>3,x>1,'>=200',>=7,1
6,'all paid',used car,>=1000,none,car,none,own,high qualif/self emp/mgmt,yes,no,'female,mar/wid',4<x<21,276<x<4813,2<x<3,x<1,19<x<33,x>3,x<1,<0,1<=X<4,1
7,critical/other existing credit,business,'<100',co applicant,real estate,none,for free,unemp/unskilled non res,none,no,'female,mar/wid,4<x<21,276<x<4813,2<x<3,x>3,19<x<33,1<x<2,x>1,<0,>=7,1
8,'all paid',business,'500<=X<1000',co applicant,'life insurance',bank,'for free',unskilled resident,yes,yes,female,div/sep,21<x<38,276<x<4813,1<x<2,x<1,19<x<33,2<x<3,x<1,'>=200',>=7,0
9,'no credits/all paid',radio/tv,'<100',co applicant,'no known property',stores,'for free','unemp/unskilled non res',none,yes,'male,mar/wid',4<x<21,276<x<4813,x<1,1<x<2,33<x<47,x<1,x<1,0<=X<200,'1<=X<4',0
10,existing paid,'used car','<100','co applicant',no known property,none,for free,unskilled resident,yes,yes,'female,single',21<x<38,276<x<4813,x>3,2<x<3,47<x<61,x>3,x<1,'>=200','<1',1
11,'existing paid',retraining,<100,'co applicant',no known property,stores,rent,skilled,none,yes,male,div/sep',38<x<55,276<x<4813,1<x<2,1<x<2,19<x<33,1<x<2,x<1,'no checking',<1,1
12,no credits/all paid,other,'500<=X<1000',guarantor,life insurance,none,own,unskilled resident,none,no,'male,div/sep,21<x<38,276<x<4813,1<x<2,x<1,47<x<61,x<1,x<1,'>=200',4<=X<7,1
13,'delayed previously',domestic appliance,no known savings,'co applicant','real estate',bank,for free,unemp/unskilled non res,yes,no,'male,mar/wid,21<x<38,276<x<4813,1<x<2,x<1,19<x<33,1<x<2,x>1,'>=200',>=7,1
14,critical/other existing credit,used car,>=1000,'co applicant',car,bank,rent,'high qualif/self emp/mgmt',yes,yes,male,div/sep',21<x<38,276<x<4813,x<1,1<x<2,33<x<47,1<x<2,x<1,'no checking','>=7',1
15,'no credits/all paid',business,'<100',guarantor,'no known property',stores,for free,high qualif/self emp/mgmt,none,no,'male,div/dep/mar,4<x<21,276<x<4813,x>3,1<x<2,33<x<47,1<x<2,x>1,>=200,4<=X<7,1
16,no credits/all paid,repairs,'no known savings','co applicant',life insurance,none,own,high qualif/self emp/mgmt,yes,yes,'female,div/sep',21<x<38,276<x<4813,2<x<3,x<1,33<x<47,2<x<3,x>1,'0<=X<200',unemployed,1
17,existing paid,other,'500<=X<1000','co applicant','no known property',bank,'for free',unskilled resident,yes,yes,female,mar/wid',x>55,4813<x<9350,2<x<3,x>3,x<19,2<x<3,x>1,>=200,1<=X<4,0
18,'no credits/all paid',domestic appliance,'>=1000','co applicant',car,none,rent,high qualif/self emp/mgmt,yes,no,female,mar/wid,38<x<55,4813<x<9350,2<x<3,x<1,19<x<33,x<1,x<1,'0<=X<200','>=7',1
19,critical/other existing credit,'new car','<100',co applicant,'real estate',bank,for free,'high qualif/self emp/mgmt',none,no,male,div/sep,4<x<21,276<x<4813,x<1,x<1,47<x<61,x<1,x>1,'0<=X<200',1<=X<4,1
20,'existing paid',domestic appliance,'<100','co applicant',no known property,bank,own,'unemp/unskilled non res',none,no,'male,single,x>55,276<x<4813,1<x<2,2<x<3,x>61,x<1,x>1,no checking,'4<=X<7',1
21,'delayed previously',new car,'100<=X<500',none,life insurance,bank,own,unemp/unskilled non res,none,no,male,mar/wid',x<4,4813<x<9350,x<1,x<1,33<x<47,x>3,x>1,no checking,1<=X<4,0
22,critical/other existing credit,other,<100,guarantor,life insurance,none,own,high qualif/self emp/mgmt,yes,no,male,div/dep/mar',4<x<21,276<x<4813,1<x<2,x<1,x>61,x>3,x>1,'no checking',>=7,1
23,delayed previously,other,<100,none,'no known property',bank,rent,'unemp/unskilled non res',yes,yes,male,div/dep/mar',38<x<55,276<x<4813,x<1,2<x<3,47<x<61,1<x<2,x>1,no checking,>=7,1
24,delayed previously,'domestic appliance',500<=X<1000,'co applicant',real estate,bank,rent,high qualif/self emp/mgmt,yes,no,female,single,x>55,276<x<4813,x>3,2<x<3,33<x<47,x>3,x<1,'<0',<1,0
25,all paid,'used car','no known savings',none,'real estate',none,own,'high qualif/self emp/mgmt',none,no,male,single',4<x<21,276<x<4813,2<x<3,x>3,47<x<61,1<x<2,x>1,0<=X<200,'1<=X<4',1
26,critical/other existing credit,domestic appliance,500<=X<1000,co applicant,life insurance,bank,rent,high qualif/self emp/mgmt,yes,yes,male,div/sep,21<x<38,4813<x<9350,2<x<3,x>3,47<x<61,x>3,x>1,>=200,'1<=X<4',1
27,'delayed previously','domestic appliance','no known savings',co applicant,life insurance,bank,rent,unskilled resident,yes,no,female,div/dep/mar,4<x<21,4813<x<9350,2<x<3,x<1,47<x<61,x>3,x>1,'0<=X<200','4<=X<7',1
28,no credits/all paid,new car,'500<=X<1000','co applicant',life insurance,none,'for free',unskilled resident,none,yes,female,single,4<x<21,276<x<4813,1<x<2,1<x<2,47<x<61,x<1,x>1,<0,>=7,0
29,delayed previously,business,'>=1000',none,life insurance,none,'for free',unskilled resident,none,no,'female,single',38<x<55,276<x<4813,2<x<3,2<x<3,47<x<61,x>3,x<1,0<=X<200,unemployed,1
30,delayed previously,'domestic appliance',500<=X<1000,co applicant,'life insurance',stores,own,'high qualif/self emp/mgmt',yes,no,male,div/dep/mar',4<x<21,276<x<4813,x<1,x<1,19<x<33,1<x<2,x<1,'0<=X<200',<1,1
31,critical/other existing credit,business,no known savings,guarantor,'real estate',bank,for free,unskilled resident,none,no,'male,div/sep',x<4,276<x<4813,1<x<2,1<x<2,33<x<47,1<x<2,x>1,'no checking','1<=X<4',1
32,'critical/other existing credit',furniture/equipment,'100<=X<500',guarantor,no known property,none,rent,unemp/unskilled non res,none,yes,male,div/sep,21<x<38,276<x<4813,x>3,x<1,33<x<47,1<x<2,x>1,'<0','1<=X<4',1
33,delayed previously,radio/tv,'100<=X<500',none,life insurance,none,rent,skilled,none,no,'female,single',4<x<21,276<x<4813,x>3,x>3,x>61,x>3,x>1,0<=X<200,'4<=X<7',1
34,'delayed previously',radio/tv,'<100',guarantor,'real estate',stores,'for free',skilled,yes,yes,female,mar/wid,4<x<21,276<x<4813,2<x<3,x>3,33<x<47,2<x<3,x<1,'0<=X<200',1<=X<4,1
35,existing paid,education,'<100','co applicant',car,none,for free,high qualif/self emp/mgmt,none,no,male,mar/wid',4<x<21,276<x<4813,x<1,1<x<2,x>61,x>3,x>1,no checking,'<1',1
36,delayed previously,retraining,500<=X<1000,co applicant,real estate,stores,'for free','unemp/unskilled non res',yes,no,female,div/dep/mar,38<x<55,276<x<4813,1<x<2,1<x<2,33<x<47,x>3,x<1,0<=X<200,>=7,0
37,'no credits/all paid','new car','>=1000',guarantor,'no known property',stores,for free,high qualif/self emp/mgmt,yes,no,female,mar/wid,38<x<55,276<x<4813,1<x<2,x>3,33<x<47,x>3,x<1,'no checking','<1',1
38,no credits/all paid,'domestic appliance','>=1000',co applicant,life insurance,bank,own,skilled,none,yes,male,single',4<x<21,276<x<4813,x<1,x>3,19<x<33,x<1,x<1,<0,4<=X<7,0
39,'no credits/all paid',radio/tv,500<=X<1000,'co applicant',no known property,none,for free,unskilled resident,none,no,male,single,38<x<55,276<x<4813,2<x<3,2<x<3,19<x<33,x>3,x<1,'0<=X<200',<1,1
40,critical/other existing credit,furniture/equipment,500<=X<1000,'co applicant','no known property',none,for free,skilled,yes,no,female,mar/wid,21<x<38,276<x<4813,1<x<2,2<x<3,47<x<61,x>3,x>1,<0,'>=7',1
41,'all paid','domestic appliance',no known savings,none,no known property,stores,for free,high qualif/self emp/mgmt,none,no,'female,single,21<x<38,276<x<4813,x<1,2<x<3,33<x<47,x>3,x<1,<0,'1<=X<4',1
42,'no credits/all paid','used car','<100',guarantor,car,bank,own,unemp/unskilled non res,none,yes,female,div/sep',38<x<55,276<x<4813,1<x<2,1<x<2,47<x<61,x>3,x>1,'>=200',4<=X<7,1
43,critical/other existing credit,repairs,no known savings,none,real estate,bank,rent,'unemp/unskilled non res',yes,no,'male,mar/wid',21<x<38,276<x<4813,2<x<3,x<1,47<x<61,x>3,x<1,0<=X<200,'4<=X<7',1
44,'critical/other existing credit',other,'no known savings',co applicant,real estate,stores,for free,unemp/unskilled non res,none,no,male,mar/wid,4<x<21,4813<x<9350,1<x<2,2<x<3,33<x<47,2<x<3,x<1,'>=200',4<=X<7,1
45,no credits/all paid,other,'500<=X<1000',guarantor,life insurance,stores,'for free',skilled,none,no,'female,single',21<x<38,276<x<4813,1<x<2,2<x<3,19<x<33,x>3,x<1,'no checking',unemployed,1
46,'all paid','new car','<100',none,life insurance,stores,own,unskilled resident,yes,yes,female,single',21<x<38,4813<x<9350,1<x<2,1<x<2,33<x<47,1<x<2,x>1,<0,4<=X<7,0
47,'all paid',new car,'500<=X<1000','co applicant','no known property',stores,own,unskilled resident,none,no,'female,single',38<x<55,276<x<4813,x>3,x<1,x>61,2<x<3,x>1,>=200,'<1',1
48,all paid,'used car',100<=X<500,'co applicant',real estate,stores,own,skilled,none,yes,'female,single,x>55,276<x<4813,1<x<2,x<1,33<x<47,x<1,x>1,'0<=X<200',>=7,0
49,'existing paid','new car','500<=X<1000','co applicant',life insurance,stores,rent,'unemp/unskilled non res',none,no,female,mar/wid,21<x<38,276<x<4813,1<x<2,1<x<2,x>61,2<x<3,x>1,'0<=X<200','1<=X<4',1
50,'critical/other existing credit',other,no known savings,'co applicant','life insurance',none,'for free',high qualif/self emp/mgmt,none,no,male,div/sep',21<x<38,276<x<4813,2<x<3,2<x<3,19<x<33,x>3,x<1,no checking,unemployed,1
51,'critical/other existing credit',other,'no known savings',guarantor,'life insurance',bank,'for free',unskilled resident,yes,no,male,div/dep/mar,4<x<21,276<x<4813,x>3,x<1,47<x<61,1<x<2,x<1,'0<=X<200',1<=X<4,1
52,'no credits/all paid',domestic appliance,500<=X<1000,guarantor,no known property,stores,'for free','unskilled resident',none,yes,'male,div/sep',38<x<55,276<x<4813,1<x<2,x<1,33<x<47,2<x<3,x>1,'0<=X<200','>=7',1
53,'existing paid',education,<100,'co applicant',real estate,none,for free,'unemp/unskilled non res',none,no,female,div/dep/mar,21<x<38,9350<x<13887,2<x<3,x<1,19<x<33,2<x<3,x>1,'>=200','1<=X<4',0
54,'existing paid',used car,'>=1000','co applicant',no known property,stores,own,unskilled resident,none,yes,female,single',4<x<21,276<x<4813,x>3,1<x<2,33<x<47,1<x<2,x>1,'0<=X<200',1<=X<4,1
55,critical/other existing credit,'domestic appliance','>=1000',co applicant,car,stores,'for free',skilled,none,yes,'male,single',21<x<38,276<x<4813,2<x<3,2<x<3,33<x<47,1<x<2,x>1,<0,'>=7',0
56,'existing paid','new car',500<=X<1000,'co applicant',real estate,bank,own,'high qualif/self emp/mgmt',none,yes,'female,div/dep/mar,38<x<55,276<x<4813,1<x<2,x<1,33<x<47,1<x<2,x<1,0<=X<200,4<=X<7,1
57,no credits/all paid,'used car','>=1000',guarantor,no known property,stores,rent,unskilled resident,none,no,male,div/dep/mar,4<x<21,276<x<4813,1<x<2,2<x<3,47<x<61,x>3,x<1,'>=200','>=7',0
58,existing paid,retraining,'>=1000',none,life insurance,stores,own,'unemp/unskilled non res',none,no,'female,div/dep/mar,4<x<21,276<x<4813,x>3,1<x<2,33<x<47,x<1,x<1,0<=X<200,>=7,1
59,critical/other existing credit,retraining,no known savings,guarantor,no known property,none,for free,'unemp/unskilled non res',yes,no,'female,div/dep/mar',x>55,4813<x<9350,1<x<2,x>3,47<x<61,1<x<2,x<1,'<0',unemployed,1
60,'critical/other existing credit','domestic appliance','no known savings',co applicant,no known property,stores,own,'unemp/unskilled non res',none,yes,male,single',x>55,276<x<4813,x>3,2<x<3,47<x<61,x>3,x>1,'0<=X<200',>=7,0
61,'delayed previously',repairs,>=1000,none,life insurance,bank,own,unskilled resident,none,no,male,mar/wid',21<x<38,276<x<4813,2<x<3,2<x<3,33<x<47,1<x<2,x>1,<0,'4<=X<7',1
62,'delayed previously','new car','<100',guarantor,'no known property',stores,for free,'unskilled resident',yes,no,female,single',4<x<21,276<x<4813,x<1,1<x<2,33<x<47,x>3,x>1,'0<=X<200',>=7,1
63,'no credits/all paid',furniture/equipment,'100<=X<500',none,car,none,rent,skilled,yes,no,male,single',4<x<21,4813<x<9350,2<x<3,x>3,33<x<47,x>3,x>1,>=200,<1,1
64,'all paid',education,100<=X<500,none,'no known property',none,rent,high qualif/self emp/mgmt,none,no,male,mar/wid',4<x<21,276<x<4813,2<x<3,x<1,x>61,2<x<3,x>1,<0,1<=X<4,1
65,critical/other existing credit,repairs,'500<=X<1000',none,'life insurance',none,'for free',unemp/unskilled non res,none,no,male,single,4<x<21,4813<x<9350,x<1,1<x<2,x>61,x>3,x<1,'no checking','<1',1
66,'critical/other existing credit',education,'<100',co applicant,life insurance,bank,for free,skilled,yes,no,'male,single',38<x<55,276<x<4813,1<x<2,1<x<2,x>61,x<1,x>1,<0,'<1',1
67,existing paid,other,no known savings,'co applicant','real estate',stores,rent,unskilled resident,yes,yes,'male,div/dep/mar',4<x<21,276<x<4813,x<1,2<x<3,19<x<33,1<x<2,x<1,<0,<1,1
68,'critical/other existing credit',repairs,500<=X<1000,guarantor,life insurance,none,for free,skilled,none,yes,'male,div/dep/mar,4<x<21,4813<x<9350,x>3,1<x<2,19<x<33,1<x<2,x<1,'0<=X<200','1<=X<4',1
69,all paid,education,'>=1000',guarantor,life insurance,bank,rent,'high qualif/self emp/mgmt',yes,no,male,div/dep/mar,4<x<21,x>13887,x>3,2<x<3,47<x<61,1<x<2,x<1,no checking,'4<=X<7',1
70,no credits/all paid,used car,'500<=X<1000','co applicant','life insurance',none,'for free',high qualif/self emp/mgmt,yes,no,male,mar/wid',4<x<21,276<x<4813,x<1,x<1,x>61,1<x<2,x>1,no checking,'>=7',1
71,existing paid,education,'500<=X<1000',none,'no known property',bank,own,'unemp/unskilled non res',yes,yes,female,mar/wid',21<x<38,276<x<4813,x<1,x>3,33<x<47,x>3,x>1,>=200,4<=X<7,1
72,'delayed previously',education,'no known savings',guarantor,car,none,for free,'unskilled resident',yes,yes,'male,div/sep,4<x<21,276<x<4813,x>3,x>3,47<x<61,2<x<3,x>1,'>=200',>=7,1
73,critical/other existing credit,'domestic appliance','>=1000',none,'no known property',stores,for free,'unemp/unskilled non res',yes,yes,male,single',38<x<55,276<x<4813,x<1,x<1,33<x<47,2<x<3,x>1,<0,<1,1
74,existing paid,education,'<100',none,life insurance,none,'for free',high qualif/self emp/mgmt,yes,no,male,mar/wid',38<x<55,4813<x<9350,x<1,x>3,19<x<33,x>3,x>1,'no checking','>=7',1
75,delayed previously,'domestic appliance','100<=X<500','co applicant',car,bank,rent,unskilled resident,none,no,'female,div/dep/mar,21<x<38,276<x<4813,x>3,1<x<2,x>61,2<x<3,x<1,>=200,'4<=X<7',1
76,'delayed previously',domestic appliance,<100,co applicant,car,stores,rent,'high qualif/self emp/mgmt',none,yes,'female,mar/wid,21<x<38,276<x<4813,x>3,x>3,33<x<47,x>3,x>1,'>=200',unemployed,1
77,'existing paid',repairs,no known savings,guarantor,life insurance,bank,for free,'high qualif/self emp/mgmt',none,yes,'male,div/dep/mar',4<x<21,276<x<4813,2<x<3,x<1,19<x<33,2<x<3,x<1,'<0',4<=X<7,1
