id,credit_history,purpose,savings_status,personal_status,other_parties,property_magnitude,other_payment_plans,housing,job,own_telephone,foreign_worker,duration,credit_amount,installment_commitment,residence_since,age,existing_credits,num_dependents,checking_status,employment,class
174,critical/other existing credit,'domestic appliance',500<=X<1000,'male div/sep',none,real estate,none,rent,skilled,yes,yes,4<x<21,276<x<4813,x>3,1<x<2,19<x<33,1<x<2,x>1,no checking,>=7,1
175,'no credits/all paid','domestic appliance','no known savings',male div/sep,co applicant,real estate,stores,'for free',unskilled resident,none,no,4<x<21,4813<x<9350,x>3,1<x<2,47<x<61,x>3,x>1,'<0',1<=X<4,1
176,'delayed previously','used car',>=1000,'male div/sep',guarantor,life insurance,none,rent,skilled,none,no,21<x<38,276<x<4813,2<x<3,x<1,47<x<61,x>3,x<1,'no checking',<1,1
177,'delayed previously',new car,'>=1000','female div/dep/mar','co applicant',car,stores,for free,high qualif/self emp/mgmt,yes,yes,4<x<21,276<x<4813,1<x<2,x<1,19<x<33,x<1,x<1,'<0','4<=X<7',1
178,no credits/all paid,retraining,<100,male div/sep,none,'no known property',none,rent,unskilled resident,none,no,21<x<38,276<x<4813,1<x<2,x<1,47<x<61,1<x<2,x<1,'<0',1<=X<4,1
179,no credits/all paid,other,'<100','female div/dep/mar',none,life insurance,stores,for free,'unskilled resident',none,yes,4<x<21,4813<x<9350,x<1,2<x<3,x>61,x<1,x>1,no checking,'>=7',1
180,'existing paid',other,<100,male mar/wid,none,no known property,stores,'for free',unemp/unskilled non res,yes,no,4<x<21,x>13887,1<x<2,2<x<3,47<x<61,x>3,x<1,0<=X<200,>=7,1
181,'existing paid',new car,'no known savings',female div/dep/mar,none,'real estate',stores,'for free',unskilled resident,yes,no,4<x<21,276<x<4813,x<1,x>3,47<x<61,1<x<2,x<1,'no checking',>=7,1
182,critical/other existing credit,'domestic appliance',100<=X<500,female div/dep/mar,none,'life insurance',bank,for free,unskilled resident,yes,no,4<x<21,276<x<4813,x<1,x<1,33<x<47,1<x<2,x>1,>=200,'4<=X<7',1
183,delayed previously,domestic appliance,no known savings,female div/dep/mar,'co applicant',real estate,bank,for free,'unskilled resident',yes,yes,4<x<21,276<x<4813,1<x<2,1<x<2,33<x<47,2<x<3,x>1,0<=X<200,>=7,1
184,all paid,used car,'>=1000',female div/dep/mar,guarantor,'life insurance',bank,own,'unemp/unskilled non res',yes,no,38<x<55,276<x<4813,1<x<2,1<x<2,19<x<33,2<x<3,x>1,'>=200','>=7',1
185,all paid,other,'<100',male single,'co applicant',no known property,bank,rent,unskilled resident,yes,yes,38<x<55,4813<x<9350,2<x<3,2<x<3,19<x<33,1<x<2,x<1,<0,1<=X<4,1
186,'critical/other existing credit',furniture/equipment,'no known savings',male single,'co applicant',real estate,none,rent,'high qualif/self emp/mgmt',yes,no,4<x<21,9350<x<13887,x<1,x>3,x>61,1<x<2,x>1,'0<=X<200','4<=X<7',1
187,critical/other existing credit,'used car',<100,'female div/dep/mar',guarantor,'no known property',none,'for free','high qualif/self emp/mgmt',yes,no,x<4,276<x<4813,1<x<2,1<x<2,19<x<33,x>3,x>1,>=200,unemployed,1
188,no credits/all paid,domestic appliance,100<=X<500,male div/sep,co applicant,life insurance,stores,own,'unemp/unskilled non res',none,yes,4<x<21,276<x<4813,x>3,1<x<2,x>61,x>3,x>1,'<0','1<=X<4',1
189,'critical/other existing credit',business,'500<=X<1000','male mar/wid',guarantor,life insurance,stores,for free,skilled,none,yes,21<x<38,276<x<4813,x<1,x<1,x>61,x<1,x>1,<0,1<=X<4,0
190,delayed previously,used car,'500<=X<1000',male mar/wid,'co applicant','no known property',bank,for free,unemp/unskilled non res,yes,no,4<x<21,4813<x<9350,2<x<3,2<x<3,33<x<47,1<x<2,x>1,'0<=X<200',>=7,1
191,all paid,furniture/equipment,'500<=X<1000',male div/sep,co applicant,'life insurance',none,own,unskilled resident,yes,yes,x>55,276<x<4813,x<1,x<1,x<19,x<1,x<1,<0,>=7,0
192,'no credits/all paid','new car','<100','male single',none,car,bank,rent,'high qualif/self emp/mgmt',yes,yes,21<x<38,4813<x<9350,x<1,1<x<2,19<x<33,x<1,x<1,>=200,1<=X<4,1
193,all paid,new car,'500<=X<1000',male div/sep,co applicant,car,none,own,high qualif/self emp/mgmt,none,no,38<x<55,276<x<4813,2<x<3,1<x<2,33<x<47,x>3,x>1,'0<=X<200',<1,0
194,no credits/all paid,business,>=1000,'male single',guarantor,life insurance,bank,rent,'high qualif/self emp/mgmt',none,no,38<x<55,276<x<4813,2<x<3,2<x<3,47<x<61,2<x<3,x>1,no checking,1<=X<4,1
195,'existing paid',new car,'500<=X<1000','male div/sep',co applicant,no known property,none,rent,unskilled resident,yes,no,4<x<21,276<x<4813,x<1,2<x<3,47<x<61,x<1,x>1,'<0',>=7,1
196,critical/other existing credit,'new car','500<=X<1000',male single,none,life insurance,stores,'for free',unemp/unskilled non res,yes,no,x<4,276<x<4813,x<1,x>3,47<x<61,2<x<3,x>1,'0<=X<200','4<=X<7',1
197,'all paid',retraining,'500<=X<1000',male single,guarantor,'life insurance',bank,own,'high qualif/self emp/mgmt',yes,yes,38<x<55,276<x<4813,x<1,x>3,19<x<33,2<x<3,x<1,0<=X<200,<1,1
198,'critical/other existing credit',used car,'<100',male single,none,real estate,stores,own,'unemp/unskilled non res',none,no,21<x<38,276<x<4813,x>3,1<x<2,x>61,x>3,x>1,'0<=X<200',<1,1
199,'existing paid','domestic appliance','>=1000','male div/sep',guarantor,'real estate',bank,'for free',skilled,yes,no,x>55,276<x<4813,x>3,2<x<3,33<x<47,2<x<3,x<1,'>=200','<1',1
200,existing paid,'new car','<100',male single,'co applicant','life insurance',bank,rent,'high qualif/self emp/mgmt',yes,yes,4<x<21,276<x<4813,1<x<2,x<1,33<x<47,x>3,x>1,>=200,>=7,1
201,no credits/all paid,business,'500<=X<1000','male mar/wid','co applicant',car,none,own,high qualif/self emp/mgmt,none,yes,4<x<21,276<x<4813,2<x<3,2<x<3,19<x<33,x<1,x>1,<0,4<=X<7,1
202,delayed previously,radio/tv,'<100',male mar/wid,co applicant,real estate,stores,rent,high qualif/self emp/mgmt,none,no,4<x<21,276<x<4813,x>3,x>3,33<x<47,2<x<3,x>1,'>=200',unemployed,1
203,'delayed previously',education,'500<=X<1000','female div/dep/mar',co applicant,'no known property',none,for free,'high qualif/self emp/mgmt',none,yes,21<x<38,276<x<4813,x>3,x>3,19<x<33,1<x<2,x<1,<0,4<=X<7,1
204,'existing paid',business,100<=X<500,female div/dep/mar,guarantor,real estate,none,for free,'unemp/unskilled non res',none,yes,38<x<55,4813<x<9350,x<1,x>3,x>61,1<x<2,x<1,<0,'4<=X<7',0
205,'delayed previously',retraining,'100<=X<500','male single',co applicant,'life insurance',bank,for free,unskilled resident,none,yes,21<x<38,276<x<4813,1<x<2,x>3,33<x<47,1<x<2,x>1,'0<=X<200','<1',1
206,existing paid,retraining,'>=1000','male mar/wid','co applicant',no known property,stores,'for free','unemp/unskilled non res',none,yes,21<x<38,276<x<4813,x<1,2<x<3,x>61,x>3,x>1,'>=200','1<=X<4',1
207,no credits/all paid,domestic appliance,'<100','male single',co applicant,'no known property',stores,'for free','high qualif/self emp/mgmt',yes,no,38<x<55,276<x<4813,2<x<3,2<x<3,47<x<61,1<x<2,x>1,'no checking',1<=X<4,1
208,critical/other existing credit,other,<100,female div/dep/mar,none,'no known property',bank,for free,skilled,none,no,4<x<21,4813<x<9350,2<x<3,2<x<3,47<x<61,1<x<2,x>1,no checking,'>=7',1
209,no credits/all paid,new car,'100<=X<500','male mar/wid',co applicant,real estate,none,for free,unemp/unskilled non res,yes,no,21<x<38,276<x<4813,2<x<3,x<1,47<x<61,x<1,x<1,'<0',4<=X<7,1
210,'no credits/all paid',new car,'100<=X<500','male div/sep','co applicant',life insurance,bank,for free,'unskilled resident',none,yes,x<4,4813<x<9350,x>3,2<x<3,33<x<47,x<1,x<1,'0<=X<200',1<=X<4,1
211,'delayed previously',business,'500<=X<1000','female div/dep/mar',guarantor,'life insurance',none,for free,unemp/unskilled non res,yes,no,21<x<38,276<x<4813,x>3,2<x<3,19<x<33,x<1,x>1,>=200,'>=7',1
212,all paid,radio/tv,'>=1000','male div/sep',guarantor,car,none,for free,'unemp/unskilled non res',none,yes,38<x<55,276<x<4813,1<x<2,1<x<2,19<x<33,x>3,x>1,>=200,'<1',1
213,critical/other existing credit,education,'no known savings','male div/sep',guarantor,car,stores,'for free',high qualif/self emp/mgmt,yes,yes,38<x<55,276<x<4813,2<x<3,x>3,47<x<61,x<1,x<1,'>=200','<1',1
214,delayed previously,radio/tv,>=1000,'male div/sep','co applicant',car,stores,own,'unemp/unskilled non res',yes,no,38<x<55,276<x<4813,2<x<3,x>3,47<x<61,2<x<3,x>1,'0<=X<200','4<=X<7',1
215,no credits/all paid,furniture/equipment,>=1000,female div/dep/mar,co applicant,no known property,bank,own,'unemp/unskilled non res',none,no,x<4,4813<x<9350,x<1,x>3,19<x<33,x>3,x>1,<0,'1<=X<4',1
216,delayed previously,retraining,<100,'male mar/wid',co applicant,real estate,none,for free,high qualif/self emp/mgmt,none,no,4<x<21,4813<x<9350,1<x<2,2<x<3,x>61,x<1,x<1,'>=200','>=7',1
217,delayed previously,radio/tv,no known savings,male single,guarantor,'real estate',stores,own,'unemp/unskilled non res',none,no,4<x<21,x>13887,2<x<3,1<x<2,19<x<33,2<x<3,x>1,no checking,<1,1
218,delayed previously,retraining,100<=X<500,male single,guarantor,life insurance,bank,'for free',unskilled resident,none,no,4<x<21,x>13887,x>3,x>3,33<x<47,1<x<2,x<1,<0,'1<=X<4',1
219,delayed previously,used car,no known savings,'male div/sep',co applicant,no known property,bank,for free,high qualif/self emp/mgmt,yes,no,4<x<21,276<x<4813,1<x<2,1<x<2,47<x<61,2<x<3,x>1,'>=200',1<=X<4,1
220,delayed previously,education,'>=1000','male single',none,'real estate',bank,'for free',high qualif/self emp/mgmt,yes,no,4<x<21,276<x<4813,x>3,x>3,x>61,2<x<3,x<1,>=200,'>=7',1
221,'delayed previously',domestic appliance,'no known savings',male mar/wid,'co applicant','no known property',none,'for free','unskilled resident',yes,yes,4<x<21,276<x<4813,x>3,2<x<3,19<x<33,2<x<3,x>1,0<=X<200,<1,1
222,all paid,'new car','<100','male div/sep',guarantor,real estate,stores,'for free',unskilled resident,none,no,21<x<38,276<x<4813,1<x<2,2<x<3,33<x<47,2<x<3,x<1,'<0',unemployed,1
223,existing paid,business,<100,female div/dep/mar,guarantor,'no known property',bank,for free,high qualif/self emp/mgmt,none,yes,4<x<21,x<276,x>3,x>3,19<x<33,1<x<2,x>1,'<0','4<=X<7',0
224,all paid,other,'500<=X<1000','male div/sep','co applicant',real estate,none,for free,high qualif/self emp/mgmt,none,no,21<x<38,276<x<4813,x<1,x<1,47<x<61,2<x<3,x>1,0<=X<200,unemployed,1
225,'no credits/all paid',radio/tv,100<=X<500,'female div/dep/mar','co applicant',real estate,stores,own,high qualif/self emp/mgmt,none,yes,38<x<55,276<x<4813,x>3,1<x<2,47<x<61,2<x<3,x<1,'0<=X<200','>=7',1
226,'no credits/all paid','used car',500<=X<1000,male single,none,life insurance,stores,for free,'unskilled resident',yes,no,38<x<55,276<x<4813,x>3,x>3,33<x<47,2<x<3,x<1,0<=X<200,>=7,1
227,no credits/all paid,new car,<100,'female div/dep/mar',co applicant,'life insurance',bank,rent,unemp/unskilled non res,yes,no,38<x<55,276<x<4813,x<1,x<1,33<x<47,x>3,x<1,'<0','1<=X<4',1
228,'no credits/all paid',other,'<100','male mar/wid','co applicant',real estate,none,own,'unemp/unskilled non res',yes,no,4<x<21,276<x<4813,x>3,1<x<2,19<x<33,x<1,x<1,'0<=X<200','1<=X<4',1
229,all paid,business,<100,male mar/wid,guarantor,'real estate',none,'for free',high qualif/self emp/mgmt,none,yes,38<x<55,x>13887,2<x<3,x<1,47<x<61,x>3,x<1,no checking,'<1',1
230,existing paid,'domestic appliance',no known savings,'female div/dep/mar','co applicant',no known property,none,'for free',unemp/unskilled non res,yes,no,4<x<21,276<x<4813,1<x<2,2<x<3,19<x<33,1<x<2,x>1,0<=X<200,'1<=X<4',1
231,critical/other existing credit,furniture/equipment,'<100','male div/sep',guarantor,life insurance,none,own,high qualif/self emp/mgmt,none,yes,4<x<21,276<x<4813,x<1,2<x<3,33<x<47,1<x<2,x>1,'<0','4<=X<7',1
232,all paid,business,100<=X<500,'male mar/wid',co applicant,real estate,none,'for free',unskilled resident,yes,yes,4<x<21,9350<x<13887,1<x<2,x>3,19<x<33,x<1,x>1,'0<=X<200',1<=X<4,1
233,'all paid',used car,500<=X<1000,'female div/dep/mar',none,no known property,stores,'for free',unemp/unskilled non res,yes,no,21<x<38,4813<x<9350,1<x<2,2<x<3,33<x<47,1<x<2,x<1,0<=X<200,'4<=X<7',1
234,no credits/all paid,'new car',>=1000,male div/sep,guarantor,'life insurance',bank,'for free','unemp/unskilled non res',yes,no,21<x<38,276<x<4813,x<1,x>3,47<x<61,2<x<3,x<1,<0,>=7,1
235,delayed previously,'domestic appliance',100<=X<500,male mar/wid,'co applicant','life insurance',bank,own,'unemp/unskilled non res',none,no,4<x<21,276<x<4813,1<x<2,2<x<3,x>61,1<x<2,x>1,<0,<1,1
236,'critical/other existing credit',other,'<100','male div/sep',guarantor,'no known property',stores,own,'high qualif/self emp/mgmt',none,no,4<x<21,276<x<4813,x<1,1<x<2,33<x<47,x>3,x<1,'0<=X<200',4<=X<7,1
237,no credits/all paid,new car,'<100',male div/sep,guarantor,'real estate',stores,rent,'unskilled resident',yes,no,4<x<21,4813<x<9350,2<x<3,x<1,19<x<33,x<1,x<1,<0,'>=7',1
238,all paid,radio/tv,'<100',female div/dep/mar,guarantor,'no known property',stores,for free,high qualif/self emp/mgmt,none,no,4<x<21,276<x<4813,2<x<3,x>3,19<x<33,2<x<3,x>1,'no checking','1<=X<4',1
239,'critical/other existing credit','domestic appliance','500<=X<1000','male mar/wid',none,life insurance,none,rent,unemp/unskilled non res,none,no,4<x<21,4813<x<9350,x>3,1<x<2,x>61,2<x<3,x<1,'>=200',>=7,1
240,'no credits/all paid',domestic appliance,'>=1000','male div/sep','co applicant','real estate',none,rent,unskilled resident,yes,no,4<x<21,4813<x<9350,2<x<3,x>3,x>61,1<x<2,x>1,<0,'<1',0
241,all paid,'used car',>=1000,'female div/dep/mar','co applicant',car,stores,rent,unemp/unskilled non res,none,no,x<4,276<x<4813,x>3,2<x<3,19<x<33,2<x<3,x>1,0<=X<200,'4<=X<7',0
242,all paid,education,'no known savings',male single,'co applicant','life insurance',bank,rent,unemp/unskilled non res,yes,yes,21<x<38,4813<x<9350,2<x<3,x>3,47<x<61,x>3,x>1,'0<=X<200','<1',1
243,delayed previously,domestic appliance,<100,'male div/sep',guarantor,car,none,for free,'unskilled resident',yes,no,38<x<55,276<x<4813,1<x<2,1<x<2,19<x<33,1<x<2,x>1,<0,unemployed,0
244,'all paid',domestic appliance,'<100','male mar/wid','co applicant',life insurance,none,for free,'unemp/unskilled non res',none,no,4<x<21,276<x<4813,x<1,2<x<3,x>61,x<1,x<1,'<0',unemployed,1
245,existing paid,other,>=1000,male single,co applicant,'life insurance',stores,for free,'unskilled resident',yes,yes,38<x<55,276<x<4813,x<1,2<x<3,47<x<61,x<1,x<1,'<0',4<=X<7,1
246,delayed previously,domestic appliance,100<=X<500,male div/sep,co applicant,life insurance,stores,own,'unskilled resident',yes,yes,4<x<21,9350<x<13887,1<x<2,1<x<2,19<x<33,x>3,x<1,'>=200','1<=X<4',1
247,all paid,other,'>=1000',male single,'co applicant','real estate',none,for free,'unskilled resident',none,no,21<x<38,276<x<4813,x<1,x<1,x>61,2<x<3,x<1,<0,>=7,1
248,delayed previously,domestic appliance,'500<=X<1000',male div/sep,none,'real estate',bank,'for free','unskilled resident',yes,no,4<x<21,276<x<4813,1<x<2,1<x<2,x>61,x>3,x>1,'0<=X<200',1<=X<4,1
249,delayed previously,domestic appliance,'500<=X<1000','male div/sep',guarantor,'life insurance',bank,own,skilled,yes,no,38<x<55,276<x<4813,x<1,x>3,19<x<33,1<x<2,x<1,'0<=X<200',>=7,1
250,'existing paid','domestic appliance',100<=X<500,male div/sep,guarantor,no known property,none,for free,'unemp/unskilled non res',yes,yes,4<x<21,276<x<4813,1<x<2,2<x<3,33<x<47,2<x<3,x>1,'<0',>=7,1
251,'all paid',business,'500<=X<1000','male div/sep',none,'real estate',none,own,unskilled resident,yes,no,4<x<21,4813<x<9350,1<x<2,2<x<3,19<x<33,x>3,x<1,'<0','1<=X<4',1
252,delayed previously,education,'100<=X<500',male single,guarantor,car,stores,'for free',skilled,yes,no,21<x<38,4813<x<9350,2<x<3,x>3,47<x<61,1<x<2,x<1,'>=200','4<=X<7',1
253,existing paid,other,'100<=X<500','male div/sep',guarantor,car,none,own,high qualif/self emp/mgmt,yes,yes,4<x<21,276<x<4813,x<1,2<x<3,x>61,x<1,x>1,'>=200','<1',1
254,'delayed previously','new car','<100','male mar/wid',none,life insurance,bank,for free,'high qualif/self emp/mgmt',yes,no,4<x<21,276<x<4813,x>3,1<x<2,19<x<33,x<1,x<1,<0,>=7,1
255,'existing paid','new car',<100,female div/dep/mar,guarantor,life insurance,bank,for free,unemp/unskilled non res,yes,yes,4<x<21,276<x<4813,1<x<2,2<x<3,47<x<61,x<1,x<1,'>=200',>=7,1
256,existing paid,retraining,'no known savings',male single,'co applicant','real estate',bank,'for free',skilled,yes,yes,4<x<21,4813<x<9350,2<x<3,x>3,x>61,x>3,x>1,0<=X<200,1<=X<4,1
257,existing paid,business,'100<=X<500','male single',none,car,stores,rent,unskilled resident,yes,no,38<x<55,276<x<4813,2<x<3,2<x<3,47<x<61,1<x<2,x>1,'0<=X<200','4<=X<7',0
258,'delayed previously',business,'>=1000',male div/sep,co applicant,'life insurance',bank,own,'high qualif/self emp/mgmt',yes,yes,38<x<55,276<x<4813,2<x<3,x>3,x>61,x>3,x<1,>=200,unemployed,1
259,'all paid',domestic appliance,'100<=X<500','male mar/wid',guarantor,'real estate',bank,for free,unskilled resident,none,no,4<x<21,276<x<4813,x>3,1<x<2,47<x<61,x>3,x<1,'<0','1<=X<4',1
260,'critical/other existing credit',radio/tv,>=1000,'male div/sep',co applicant,'no known property',bank,rent,skilled,none,yes,21<x<38,276<x<4813,2<x<3,2<x<3,33<x<47,x<1,x>1,'no checking',unemployed,1
261,delayed previously,new car,'500<=X<1000',male div/sep,co applicant,real estate,none,rent,'unemp/unskilled non res',none,yes,21<x<38,276<x<4813,2<x<3,2<x<3,19<x<33,x<1,x<1,>=200,<1,1
262,'existing paid','new car',>=1000,'male mar/wid',none,real estate,stores,own,unemp/unskilled non res,yes,no,38<x<55,4813<x<9350,x<1,1<x<2,19<x<33,x<1,x>1,0<=X<200,'1<=X<4',1
263,all paid,'used car','no known savings','female div/dep/mar',guarantor,car,bank,own,high qualif/self emp/mgmt,yes,yes,38<x<55,276<x<4813,1<x<2,1<x<2,x>61,x<1,x>1,'0<=X<200','1<=X<4',0
264,'delayed previously','new car',100<=X<500,female div/dep/mar,none,car,bank,'for free',unskilled resident,none,yes,38<x<55,276<x<4813,x>3,x<1,19<x<33,2<x<3,x>1,'<0','<1',1
265,no credits/all paid,radio/tv,<100,'female div/dep/mar',guarantor,'real estate',none,rent,'unemp/unskilled non res',none,yes,4<x<21,276<x<4813,x<1,1<x<2,x>61,x<1,x>1,'>=200','1<=X<4',1
266,no credits/all paid,furniture/equipment,>=1000,male div/sep,none,'life insurance',none,own,'unemp/unskilled non res',none,no,38<x<55,276<x<4813,2<x<3,x>3,33<x<47,x<1,x>1,no checking,'<1',1
267,'no credits/all paid',retraining,>=1000,male div/sep,co applicant,no known property,stores,own,'unemp/unskilled non res',yes,no,4<x<21,276<x<4813,x<1,x<1,47<x<61,1<x<2,x<1,'no checking','4<=X<7',1
268,'existing paid',radio/tv,<100,male mar/wid,'co applicant','no known property',bank,rent,unemp/unskilled non res,yes,no,38<x<55,276<x<4813,2<x<3,x>3,x<19,1<x<2,x<1,'0<=X<200','1<=X<4',0
269,'all paid',radio/tv,<100,female div/dep/mar,none,real estate,stores,for free,unemp/unskilled non res,none,yes,x<4,276<x<4813,x>3,2<x<3,19<x<33,x<1,x>1,no checking,'4<=X<7',1
270,'critical/other existing credit',furniture/equipment,<100,female div/dep/mar,co applicant,'no known property',bank,own,unskilled resident,none,no,4<x<21,276<x<4813,x<1,x>3,x>61,x>3,x>1,0<=X<200,'1<=X<4',1
271,critical/other existing credit,education,<100,female div/dep/mar,co applicant,life insurance,bank,'for free','high qualif/self emp/mgmt',none,yes,4<x<21,276<x<4813,2<x<3,x>3,x<19,1<x<2,x<1,'<0',4<=X<7,1
272,critical/other existing credit,'used car',500<=X<1000,male single,guarantor,life insurance,bank,own,unskilled resident,yes,yes,21<x<38,4813<x<9350,x>3,2<x<3,19<x<33,x<1,x>1,'<0','>=7',0
273,critical/other existing credit,'domestic appliance',<100,male mar/wid,none,real estate,stores,for free,unemp/unskilled non res,none,yes,4<x<21,276<x<4813,1<x<2,2<x<3,47<x<61,1<x<2,x>1,'<0',<1,1
274,existing paid,business,'100<=X<500','female div/dep/mar',none,real estate,bank,own,unemp/unskilled non res,none,no,38<x<55,9350<x<13887,x<1,x<1,19<x<33,x<1,x>1,'>=200',4<=X<7,1
275,'no credits/all paid',domestic appliance,no known savings,'male single',guarantor,real estate,stores,rent,high qualif/self emp/mgmt,yes,yes,38<x<55,9350<x<13887,1<x<2,x<1,x>61,1<x<2,x<1,'>=200','<1',1
276,no credits/all paid,retraining,100<=X<500,male mar/wid,'co applicant',real estate,stores,rent,high qualif/self emp/mgmt,none,yes,21<x<38,276<x<4813,1<x<2,x<1,x>61,x<1,x<1,0<=X<200,4<=X<7,1
277,all paid,'domestic appliance',500<=X<1000,'female div/dep/mar',none,'real estate',none,for free,skilled,yes,no,4<x<21,276<x<4813,2<x<3,x<1,47<x<61,x>3,x<1,'0<=X<200',unemployed,1
278,delayed previously,furniture/equipment,'100<=X<500','male div/sep','co applicant','real estate',bank,own,'high qualif/self emp/mgmt',yes,yes,4<x<21,276<x<4813,x<1,x>3,x>61,1<x<2,x<1,>=200,'>=7',1
279,'all paid',radio/tv,<100,male single,none,'real estate',none,'for free',skilled,yes,yes,21<x<38,276<x<4813,2<x<3,x>3,x>61,2<x<3,x<1,'0<=X<200','>=7',1
280,no credits/all paid,business,'500<=X<1000',male div/sep,guarantor,car,none,own,unskilled resident,none,no,38<x<55,276<x<4813,1<x<2,x>3,33<x<47,x<1,x<1,0<=X<200,<1,0
281,'all paid',domestic appliance,no known savings,'male single','co applicant','life insurance',none,'for free','unemp/unskilled non res',yes,no,21<x<38,276<x<4813,x<1,1<x<2,47<x<61,1<x<2,x<1,'no checking','>=7',1
282,critical/other existing credit,education,>=1000,male mar/wid,guarantor,'real estate',bank,for free,'unemp/unskilled non res',yes,no,4<x<21,276<x<4813,1<x<2,x>3,47<x<61,x>3,x>1,'no checking','>=7',1
283,existing paid,repairs,<100,'male div/sep','co applicant','life insurance',none,rent,'unskilled resident',yes,no,x<4,4813<x<9350,2<x<3,1<x<2,47<x<61,1<x<2,x>1,<0,'4<=X<7',1
284,critical/other existing credit,new car,'500<=X<1000','male mar/wid',guarantor,real estate,stores,for free,high qualif/self emp/mgmt,yes,no,4<x<21,276<x<4813,1<x<2,x>3,x>61,x>3,x>1,<0,'4<=X<7',1
285,'no credits/all paid',business,100<=X<500,'female div/dep/mar',co applicant,no known property,bank,own,'high qualif/self emp/mgmt',yes,no,21<x<38,276<x<4813,1<x<2,x<1,19<x<33,x<1,x>1,0<=X<200,'4<=X<7',1
286,no credits/all paid,furniture/equipment,500<=X<1000,female div/dep/mar,none,'no known property',bank,for free,unemp/unskilled non res,yes,yes,4<x<21,4813<x<9350,2<x<3,2<x<3,x>61,2<x<3,x<1,'0<=X<200',>=7,1
287,no credits/all paid,other,'<100',male div/sep,none,no known property,none,own,'unemp/unskilled non res',yes,yes,21<x<38,276<x<4813,1<x<2,x<1,19<x<33,x>3,x<1,<0,1<=X<4,1
288,'delayed previously','domestic appliance',500<=X<1000,'male single','co applicant',life insurance,stores,rent,'high qualif/self emp/mgmt',none,yes,21<x<38,276<x<4813,1<x<2,x>3,19<x<33,1<x<2,x>1,'>=200','<1',1
289,all paid,radio/tv,'>=1000','male div/sep',co applicant,car,stores,'for free',unemp/unskilled non res,yes,yes,4<x<21,276<x<4813,2<x<3,x<1,19<x<33,x>3,x<1,'no checking',<1,1
290,delayed previously,retraining,'500<=X<1000',male mar/wid,co applicant,life insurance,none,'for free',skilled,yes,yes,4<x<21,276<x<4813,x<1,1<x<2,x>61,2<x<3,x<1,>=200,1<=X<4,1
291,delayed previously,'domestic appliance','>=1000','male div/sep',guarantor,'no known property',bank,own,unemp/unskilled non res,none,yes,38<x<55,276<x<4813,2<x<3,2<x<3,47<x<61,1<x<2,x>1,'no checking',1<=X<4,1
292,all paid,'domestic appliance','100<=X<500','male div/sep',guarantor,'no known property',none,own,unskilled resident,none,no,4<x<21,276<x<4813,2<x<3,2<x<3,x>61,1<x<2,x<1,'<0',1<=X<4,1
293,no credits/all paid,furniture/equipment,no known savings,'male single',guarantor,'no known property',stores,rent,unskilled resident,yes,yes,38<x<55,276<x<4813,2<x<3,x>3,33<x<47,1<x<2,x>1,no checking,1<=X<4,1
294,'all paid','new car','500<=X<1000',male div/sep,guarantor,'real estate',stores,'for free',unemp/unskilled non res,none,yes,4<x<21,9350<x<13887,x>3,x<1,33<x<47,2<x<3,x<1,no checking,'>=7',1
295,critical/other existing credit,business,>=1000,'male mar/wid',guarantor,'real estate',none,rent,high qualif/self emp/mgmt,none,yes,21<x<38,276<x<4813,2<x<3,x>3,19<x<33,1<x<2,x>1,no checking,>=7,1
296,'delayed previously',new car,'100<=X<500','male single',co applicant,no known property,none,own,high qualif/self emp/mgmt,yes,no,38<x<55,276<x<4813,x>3,1<x<2,19<x<33,x<1,x<1,'0<=X<200',>=7,1
297,'critical/other existing credit',education,100<=X<500,female div/dep/mar,'co applicant',real estate,stores,rent,'high qualif/self emp/mgmt',none,yes,21<x<38,9350<x<13887,1<x<2,2<x<3,47<x<61,x<1,x>1,'no checking','>=7',1
298,all paid,repairs,100<=X<500,female div/dep/mar,guarantor,'real estate',bank,rent,'unemp/unskilled non res',yes,yes,21<x<38,276<x<4813,2<x<3,2<x<3,47<x<61,x>3,x>1,'0<=X<200',>=7,1
299,'delayed previously','used car',100<=X<500,male single,'co applicant','real estate',bank,rent,high qualif/self emp/mgmt,yes,no,21<x<38,276<x<4813,1<x<2,x<1,33<x<47,x>3,x<1,'no checking','<1',1
300,no credits/all paid,radio/tv,'100<=X<500','male div/sep','co applicant',life insurance,bank,own,unemp/unskilled non res,none,no,38<x<55,276<x<4813,x<1,x>3,x>61,1<x<2,x>1,'<0','4<=X<7',1
301,delayed previously,repairs,>=1000,male mar/wid,'co applicant','no known property',bank,own,'high qualif/self emp/mgmt',none,yes,38<x<55,276<x<4813,2<x<3,2<x<3,47<x<61,x>3,x<1,>=200,unemployed,0
302,'existing paid','domestic appliance',>=1000,male mar/wid,co applicant,life insurance,stores,for free,skilled,yes,yes,4<x<21,276<x<4813,1<x<2,x>3,33<x<47,x<1,x<1,'>=200',<1,1
303,'existing paid',education,'<100','male mar/wid',guarantor,car,none,for free,skilled,none,yes,21<x<38,276<x<4813,2<x<3,1<x<2,47<x<61,x>3,x<1,'<0',1<=X<4,1
304,'no credits/all paid',used car,no known savings,'male div/sep',co applicant,car,none,'for free','unskilled resident',yes,no,4<x<21,9350<x<13887,x<1,1<x<2,19<x<33,2<x<3,x>1,'>=200','1<=X<4',1
