id,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30_59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60_89DaysPastDueNotWorse,NumberOfDependents,class
386,x<0.0,51<x<77,x<0,15276.0<x<30553.0,0.0<x<752187.0,0<x<14,0<x<24,13<x<27,0<x<24,5.0<x<10.0,YES
387,x<0.0,51<x<77,0<x<24,0.0<x<15276.0,x<0.0,x<0,0<x<24,x<0,x<0,0.0<x<5.0,NO
388,x<0.0,25<x<51,0<x<24,0.0<x<15276.0,x<0.0,14<x<29,0<x<24,13<x<27,0<x<24,0.0<x<5.0,YES
389,0.0<x<12677.0,x>77,0<x<24,0.0<x<15276.0,0.0<x<752187.0,29<x<43,x<0,0<x<13,x<0,5.0<x<10.0,NO
390,0.0<x<12677.0,25<x<51,0<x<24,x<0.0,0.0<x<752187.0,29<x<43,0<x<24,x<0,0<x<24,0.0<x<5.0,YES
391,x<0.0,51<x<77,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,14<x<29,0<x<24,x<0,0<x<24,x<0.0,YES
392,x<0.0,x>77,0<x<24,x<0.0,0.0<x<752187.0,14<x<29,0<x<24,x<0,x<0,0.0<x<5.0,NO
393,0.0<x<12677.0,51<x<77,x<0,x<0.0,x<0.0,x>43,0<x<24,13<x<27,x<0,0.0<x<5.0,NO
394,0.0<x<12677.0,0<x<25,x<0,x<0.0,x<0.0,x>43,0<x<24,13<x<27,x<0,x<0.0,NO
395,x<0.0,0<x<25,0<x<24,0.0<x<15276.0,0.0<x<752187.0,0<x<14,0<x<24,0<x<13,0<x<24,5.0<x<10.0,YES
396,0.0<x<12677.0,51<x<77,0<x<24,15276.0<x<30553.0,x<0.0,x>43,x<0,0<x<13,0<x<24,0.0<x<5.0,YES
397,0.0<x<12677.0,25<x<51,0<x<24,x<0.0,x<0.0,x>43,x<0,13<x<27,x<0,0.0<x<5.0,NO
398,0.0<x<12677.0,25<x<51,x<0,15276.0<x<30553.0,0.0<x<752187.0,0<x<14,0<x<24,0<x<13,0<x<24,x<0.0,YES
399,x<0.0,0<x<25,0<x<24,0.0<x<15276.0,0.0<x<752187.0,x>43,0<x<24,x<0,x<0,0.0<x<5.0,NO
400,0.0<x<12677.0,25<x<51,0<x<24,0.0<x<15276.0,x<0.0,29<x<43,0<x<24,13<x<27,x<0,5.0<x<10.0,NO
401,0.0<x<12677.0,51<x<77,0<x<24,15276.0<x<30553.0,x<0.0,29<x<43,x<0,x<0,0<x<24,x<0.0,YES
402,0.0<x<12677.0,x>77,0<x<24,0.0<x<15276.0,0.0<x<752187.0,x<0,x<0,13<x<27,0<x<24,5.0<x<10.0,NO
403,0.0<x<12677.0,0<x<25,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,x<0,0<x<24,x<0,0<x<24,x<0.0,YES
404,x<0.0,51<x<77,x<0,x<0.0,0.0<x<752187.0,14<x<29,x<0,13<x<27,0<x<24,5.0<x<10.0,YES
405,0.0<x<12677.0,x>77,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,0<x<14,x<0,x<0,x<0,5.0<x<10.0,NO
406,x<0.0,25<x<51,x<0,15276.0<x<30553.0,x<0.0,29<x<43,x<0,x<0,0<x<24,5.0<x<10.0,NO
407,0.0<x<12677.0,x>77,x<0,x<0.0,x<0.0,x>43,0<x<24,13<x<27,x<0,0.0<x<5.0,NO
408,0.0<x<12677.0,0<x<25,0<x<24,0.0<x<15276.0,0.0<x<752187.0,29<x<43,x<0,13<x<27,0<x<24,0.0<x<5.0,YES
409,x<0.0,x>77,0<x<24,0.0<x<15276.0,x<0.0,14<x<29,0<x<24,13<x<27,0<x<24,x<0.0,NO
410,0.0<x<12677.0,0<x<25,x<0,15276.0<x<30553.0,x<0.0,0<x<14,0<x<24,0<x<13,x<0,5.0<x<10.0,NO
411,x<0.0,x>77,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,x<0,0<x<24,13<x<27,x<0,0.0<x<5.0,NO
412,0.0<x<12677.0,0<x<25,x<0,x<0.0,0.0<x<752187.0,x>43,x<0,0<x<13,0<x<24,0.0<x<5.0,NO
413,x<0.0,x>77,0<x<24,x<0.0,0.0<x<752187.0,29<x<43,0<x<24,13<x<27,x<0,5.0<x<10.0,NO
414,0.0<x<12677.0,0<x<25,x<0,0.0<x<15276.0,x<0.0,x<0,0<x<24,x<0,x<0,5.0<x<10.0,NO
415,x<0.0,0<x<25,x<0,15276.0<x<30553.0,0.0<x<752187.0,0<x<14,x<0,13<x<27,x<0,x<0.0,NO
416,x<0.0,25<x<51,0<x<24,0.0<x<15276.0,x<0.0,0<x<14,x<0,0<x<13,x<0,0.0<x<5.0,NO
417,0.0<x<12677.0,25<x<51,x<0,0.0<x<15276.0,0.0<x<752187.0,14<x<29,x<0,0<x<13,x<0,x<0.0,NO
418,0.0<x<12677.0,x>77,x<0,x<0.0,0.0<x<752187.0,0<x<14,x<0,x<0,0<x<24,0.0<x<5.0,NO
419,x<0.0,0<x<25,0<x<24,0.0<x<15276.0,x<0.0,0<x<14,x<0,0<x<13,0<x<24,5.0<x<10.0,YES
420,0.0<x<12677.0,25<x<51,0<x<24,x<0.0,0.0<x<752187.0,x>43,x<0,x<0,x<0,0.0<x<5.0,NO
421,x<0.0,51<x<77,0<x<24,x<0.0,0.0<x<752187.0,x<0,0<x<24,13<x<27,x<0,0.0<x<5.0,NO
422,0.0<x<12677.0,0<x<25,x<0,0.0<x<15276.0,x<0.0,0<x<14,0<x<24,13<x<27,x<0,x<0.0,NO
423,x<0.0,51<x<77,x<0,x<0.0,0.0<x<752187.0,x<0,x<0,13<x<27,x<0,x<0.0,NO
424,0.0<x<12677.0,x>77,x<0,x<0.0,0.0<x<752187.0,29<x<43,0<x<24,13<x<27,x<0,0.0<x<5.0,NO
425,x<0.0,25<x<51,x<0,x<0.0,0.0<x<752187.0,0<x<14,x<0,x<0,x<0,x<0.0,NO
426,x<0.0,25<x<51,0<x<24,15276.0<x<30553.0,x<0.0,0<x<14,x<0,13<x<27,0<x<24,5.0<x<10.0,YES
427,0.0<x<12677.0,51<x<77,x<0,15276.0<x<30553.0,x<0.0,x<0,x<0,13<x<27,x<0,x<0.0,NO
428,0.0<x<12677.0,51<x<77,x<0,x<0.0,x<0.0,x<0,x<0,13<x<27,0<x<24,0.0<x<5.0,NO
429,0.0<x<12677.0,x>77,0<x<24,0.0<x<15276.0,x<0.0,x>43,x<0,x<0,0<x<24,0.0<x<5.0,YES
430,0.0<x<12677.0,51<x<77,0<x<24,0.0<x<15276.0,0.0<x<752187.0,x<0,0<x<24,13<x<27,0<x<24,5.0<x<10.0,YES
431,x<0.0,25<x<51,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,14<x<29,0<x<24,0<x<13,0<x<24,x<0.0,YES
432,0.0<x<12677.0,x>77,0<x<24,0.0<x<15276.0,0.0<x<752187.0,14<x<29,0<x<24,x<0,x<0,x<0.0,NO
433,0.0<x<12677.0,x>77,x<0,x<0.0,x<0.0,14<x<29,0<x<24,13<x<27,x<0,0.0<x<5.0,NO
434,x<0.0,25<x<51,x<0,x<0.0,x<0.0,0<x<14,x<0,13<x<27,0<x<24,5.0<x<10.0,YES
435,x<0.0,25<x<51,x<0,x<0.0,0.0<x<752187.0,x>43,0<x<24,x<0,x<0,5.0<x<10.0,NO
436,0.0<x<12677.0,51<x<77,0<x<24,x<0.0,0.0<x<752187.0,29<x<43,0<x<24,13<x<27,0<x<24,x<0.0,YES
437,0.0<x<12677.0,x>77,0<x<24,15276.0<x<30553.0,x<0.0,14<x<29,0<x<24,13<x<27,0<x<24,x<0.0,NO
438,0.0<x<12677.0,25<x<51,x<0,0.0<x<15276.0,x<0.0,x>43,0<x<24,13<x<27,0<x<24,5.0<x<10.0,YES
439,0.0<x<12677.0,x>77,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,29<x<43,x<0,13<x<27,x<0,x<0.0,NO
440,0.0<x<12677.0,25<x<51,x<0,15276.0<x<30553.0,0.0<x<752187.0,29<x<43,0<x<24,0<x<13,x<0,5.0<x<10.0,NO
441,0.0<x<12677.0,0<x<25,x<0,x<0.0,x<0.0,x<0,0<x<24,0<x<13,x<0,x<0.0,NO
442,x<0.0,25<x<51,x<0,x<0.0,0.0<x<752187.0,0<x<14,x<0,0<x<13,x<0,x<0.0,NO
443,0.0<x<12677.0,25<x<51,x<0,0.0<x<15276.0,0.0<x<752187.0,0<x<14,x<0,13<x<27,0<x<24,0.0<x<5.0,NO
444,0.0<x<12677.0,0<x<25,0<x<24,15276.0<x<30553.0,x<0.0,29<x<43,0<x<24,13<x<27,x<0,5.0<x<10.0,NO
445,0.0<x<12677.0,x>77,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,29<x<43,x<0,13<x<27,x<0,5.0<x<10.0,NO
446,0.0<x<12677.0,51<x<77,x<0,15276.0<x<30553.0,0.0<x<752187.0,x>43,x<0,x<0,x<0,5.0<x<10.0,NO
447,x<0.0,x>77,x<0,15276.0<x<30553.0,x<0.0,0<x<14,0<x<24,x<0,x<0,x<0.0,NO
448,x<0.0,0<x<25,x<0,0.0<x<15276.0,x<0.0,x>43,0<x<24,13<x<27,x<0,x<0.0,NO
449,x<0.0,0<x<25,0<x<24,x<0.0,0.0<x<752187.0,29<x<43,x<0,x<0,x<0,0.0<x<5.0,NO
450,0.0<x<12677.0,25<x<51,0<x<24,0.0<x<15276.0,0.0<x<752187.0,x<0,0<x<24,13<x<27,0<x<24,0.0<x<5.0,YES
451,0.0<x<12677.0,25<x<51,x<0,15276.0<x<30553.0,x<0.0,x>43,0<x<24,0<x<13,x<0,0.0<x<5.0,NO
452,x<0.0,0<x<25,x<0,15276.0<x<30553.0,x<0.0,29<x<43,x<0,x<0,0<x<24,0.0<x<5.0,NO
453,0.0<x<12677.0,25<x<51,0<x<24,x<0.0,0.0<x<752187.0,0<x<14,0<x<24,0<x<13,0<x<24,5.0<x<10.0,YES
454,x<0.0,25<x<51,x<0,15276.0<x<30553.0,0.0<x<752187.0,x<0,x<0,x<0,0<x<24,x<0.0,NO
455,x<0.0,0<x<25,x<0,0.0<x<15276.0,0.0<x<752187.0,0<x<14,0<x<24,x<0,0<x<24,x<0.0,YES
456,0.0<x<12677.0,x>77,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,x<0,0<x<24,0<x<13,x<0,x<0.0,NO
457,0.0<x<12677.0,51<x<77,x<0,x<0.0,x<0.0,x>43,x<0,13<x<27,x<0,5.0<x<10.0,NO
458,x<0.0,x>77,x<0,x<0.0,x<0.0,0<x<14,0<x<24,13<x<27,0<x<24,x<0.0,NO
459,x<0.0,0<x<25,x<0,x<0.0,0.0<x<752187.0,x<0,0<x<24,13<x<27,0<x<24,5.0<x<10.0,YES
460,x<0.0,x>77,0<x<24,15276.0<x<30553.0,x<0.0,x>43,0<x<24,x<0,x<0,0.0<x<5.0,NO
461,x<0.0,x>77,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,x<0,x<0,x<0,0<x<24,5.0<x<10.0,YES
462,0.0<x<12677.0,25<x<51,0<x<24,x<0.0,x<0.0,29<x<43,0<x<24,0<x<13,0<x<24,5.0<x<10.0,YES
463,x<0.0,x>77,0<x<24,x<0.0,0.0<x<752187.0,29<x<43,0<x<24,13<x<27,0<x<24,0.0<x<5.0,YES
464,x<0.0,25<x<51,0<x<24,0.0<x<15276.0,0.0<x<752187.0,x<0,x<0,13<x<27,0<x<24,x<0.0,NO
465,0.0<x<12677.0,0<x<25,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,14<x<29,0<x<24,13<x<27,x<0,0.0<x<5.0,NO
466,x<0.0,51<x<77,x<0,x<0.0,x<0.0,14<x<29,x<0,13<x<27,0<x<24,0.0<x<5.0,YES
467,0.0<x<12677.0,25<x<51,0<x<24,0.0<x<15276.0,0.0<x<752187.0,0<x<14,0<x<24,x<0,x<0,0.0<x<5.0,NO
468,x<0.0,25<x<51,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,0<x<14,0<x<24,13<x<27,x<0,0.0<x<5.0,NO
469,0.0<x<12677.0,x>77,0<x<24,15276.0<x<30553.0,x<0.0,0<x<14,x<0,x<0,0<x<24,5.0<x<10.0,YES
470,0.0<x<12677.0,25<x<51,x<0,15276.0<x<30553.0,0.0<x<752187.0,x>43,0<x<24,0<x<13,0<x<24,0.0<x<5.0,YES
471,0.0<x<12677.0,25<x<51,x<0,15276.0<x<30553.0,x<0.0,14<x<29,x<0,13<x<27,x<0,x<0.0,NO
472,0.0<x<12677.0,51<x<77,x<0,x<0.0,x<0.0,14<x<29,0<x<24,13<x<27,0<x<24,0.0<x<5.0,YES
473,0.0<x<12677.0,51<x<77,0<x<24,15276.0<x<30553.0,x<0.0,0<x<14,0<x<24,13<x<27,0<x<24,0.0<x<5.0,YES
474,0.0<x<12677.0,51<x<77,x<0,15276.0<x<30553.0,x<0.0,29<x<43,x<0,x<0,0<x<24,x<0.0,NO
475,x<0.0,25<x<51,x<0,15276.0<x<30553.0,0.0<x<752187.0,14<x<29,x<0,13<x<27,x<0,x<0.0,NO
476,0.0<x<12677.0,51<x<77,x<0,0.0<x<15276.0,x<0.0,29<x<43,x<0,13<x<27,x<0,5.0<x<10.0,NO
477,0.0<x<12677.0,x>77,x<0,x<0.0,x<0.0,x>43,x<0,0<x<13,x<0,5.0<x<10.0,NO
478,0.0<x<12677.0,0<x<25,x<0,15276.0<x<30553.0,x<0.0,14<x<29,x<0,x<0,x<0,5.0<x<10.0,NO
479,x<0.0,25<x<51,x<0,x<0.0,0.0<x<752187.0,0<x<14,x<0,x<0,0<x<24,5.0<x<10.0,NO
480,x<0.0,51<x<77,x<0,0.0<x<15276.0,0.0<x<752187.0,0<x<14,0<x<24,x<0,x<0,5.0<x<10.0,NO
481,x<0.0,51<x<77,x<0,x<0.0,0.0<x<752187.0,14<x<29,x<0,13<x<27,0<x<24,0.0<x<5.0,YES
482,0.0<x<12677.0,x>77,x<0,0.0<x<15276.0,x<0.0,0<x<14,x<0,0<x<13,0<x<24,x<0.0,NO
483,x<0.0,0<x<25,x<0,15276.0<x<30553.0,0.0<x<752187.0,0<x<14,0<x<24,x<0,0<x<24,x<0.0,YES
484,x<0.0,25<x<51,x<0,0.0<x<15276.0,0.0<x<752187.0,29<x<43,x<0,0<x<13,x<0,0.0<x<5.0,NO
485,0.0<x<12677.0,x>77,x<0,x<0.0,x<0.0,x>43,0<x<24,x<0,x<0,x<0.0,NO
486,0.0<x<12677.0,x>77,0<x<24,15276.0<x<30553.0,x<0.0,x<0,0<x<24,13<x<27,x<0,5.0<x<10.0,NO
487,x<0.0,x>77,x<0,x<0.0,0.0<x<752187.0,0<x<14,0<x<24,13<x<27,0<x<24,5.0<x<10.0,NO
488,0.0<x<12677.0,0<x<25,0<x<24,0.0<x<15276.0,x<0.0,0<x<14,x<0,13<x<27,x<0,0.0<x<5.0,NO
489,0.0<x<12677.0,25<x<51,x<0,15276.0<x<30553.0,x<0.0,29<x<43,0<x<24,13<x<27,x<0,x<0.0,NO
490,x<0.0,0<x<25,x<0,0.0<x<15276.0,0.0<x<752187.0,x<0,x<0,13<x<27,x<0,0.0<x<5.0,NO
491,0.0<x<12677.0,x>77,x<0,x<0.0,0.0<x<752187.0,0<x<14,0<x<24,13<x<27,0<x<24,x<0.0,NO
492,0.0<x<12677.0,51<x<77,0<x<24,0.0<x<15276.0,0.0<x<752187.0,0<x<14,0<x<24,x<0,0<x<24,x<0.0,YES
493,0.0<x<12677.0,x>77,x<0,0.0<x<15276.0,x<0.0,0<x<14,x<0,0<x<13,0<x<24,x<0.0,NO
494,0.0<x<12677.0,x>77,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,x>43,0<x<24,x<0,x<0,5.0<x<10.0,NO
495,x<0.0,x>77,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,x>43,x<0,13<x<27,x<0,0.0<x<5.0,NO
496,0.0<x<12677.0,25<x<51,0<x<24,15276.0<x<30553.0,x<0.0,x>43,0<x<24,x<0,0<x<24,x<0.0,YES
497,x<0.0,51<x<77,x<0,15276.0<x<30553.0,0.0<x<752187.0,0<x<14,x<0,0<x<13,x<0,5.0<x<10.0,NO
498,x<0.0,0<x<25,x<0,x<0.0,x<0.0,x>43,x<0,x<0,0<x<24,0.0<x<5.0,NO
499,0.0<x<12677.0,0<x<25,0<x<24,15276.0<x<30553.0,x<0.0,14<x<29,0<x<24,0<x<13,x<0,0.0<x<5.0,NO
500,x<0.0,51<x<77,0<x<24,x<0.0,x<0.0,0<x<14,x<0,13<x<27,x<0,0.0<x<5.0,NO
501,x<0.0,51<x<77,0<x<24,0.0<x<15276.0,0.0<x<752187.0,29<x<43,x<0,13<x<27,0<x<24,0.0<x<5.0,YES
502,0.0<x<12677.0,x>77,x<0,15276.0<x<30553.0,0.0<x<752187.0,14<x<29,x<0,13<x<27,x<0,5.0<x<10.0,NO
503,x<0.0,25<x<51,x<0,0.0<x<15276.0,0.0<x<752187.0,x<0,x<0,13<x<27,0<x<24,0.0<x<5.0,YES
504,0.0<x<12677.0,25<x<51,0<x<24,0.0<x<15276.0,x<0.0,x<0,x<0,13<x<27,0<x<24,5.0<x<10.0,YES
505,0.0<x<12677.0,51<x<77,x<0,0.0<x<15276.0,x<0.0,29<x<43,x<0,0<x<13,0<x<24,0.0<x<5.0,NO
506,x<0.0,0<x<25,x<0,x<0.0,0.0<x<752187.0,0<x<14,x<0,13<x<27,0<x<24,x<0.0,NO
507,x<0.0,25<x<51,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,14<x<29,x<0,x<0,0<x<24,0.0<x<5.0,NO
508,x<0.0,25<x<51,0<x<24,x<0.0,x<0.0,29<x<43,0<x<24,13<x<27,0<x<24,x<0.0,YES
509,0.0<x<12677.0,25<x<51,x<0,15276.0<x<30553.0,0.0<x<752187.0,29<x<43,0<x<24,13<x<27,0<x<24,x<0.0,NO
510,x<0.0,0<x<25,x<0,15276.0<x<30553.0,0.0<x<752187.0,29<x<43,x<0,0<x<13,x<0,0.0<x<5.0,NO
511,x<0.0,25<x<51,0<x<24,15276.0<x<30553.0,x<0.0,x>43,x<0,13<x<27,x<0,0.0<x<5.0,NO
512,x<0.0,25<x<51,x<0,x<0.0,0.0<x<752187.0,29<x<43,x<0,x<0,0<x<24,5.0<x<10.0,NO
513,x<0.0,51<x<77,0<x<24,0.0<x<15276.0,x<0.0,29<x<43,0<x<24,0<x<13,0<x<24,0.0<x<5.0,YES
514,0.0<x<12677.0,x>77,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,14<x<29,0<x<24,13<x<27,x<0,5.0<x<10.0,NO
515,x<0.0,51<x<77,x<0,x<0.0,0.0<x<752187.0,0<x<14,0<x<24,x<0,x<0,0.0<x<5.0,NO
516,0.0<x<12677.0,0<x<25,0<x<24,x<0.0,0.0<x<752187.0,x<0,x<0,x<0,0<x<24,0.0<x<5.0,NO
517,x<0.0,51<x<77,0<x<24,x<0.0,0.0<x<752187.0,x<0,x<0,x<0,0<x<24,5.0<x<10.0,YES
518,0.0<x<12677.0,0<x<25,0<x<24,x<0.0,0.0<x<752187.0,x>43,0<x<24,0<x<13,x<0,x<0.0,NO
519,x<0.0,x>77,0<x<24,0.0<x<15276.0,x<0.0,29<x<43,x<0,x<0,x<0,0.0<x<5.0,NO
520,x<0.0,x>77,0<x<24,x<0.0,x<0.0,0<x<14,x<0,x<0,x<0,5.0<x<10.0,NO
521,x<0.0,x>77,x<0,x<0.0,x<0.0,x<0,0<x<24,13<x<27,x<0,0.0<x<5.0,NO
522,x<0.0,51<x<77,x<0,x<0.0,0.0<x<752187.0,x<0,x<0,13<x<27,0<x<24,0.0<x<5.0,NO
523,x<0.0,x>77,x<0,15276.0<x<30553.0,0.0<x<752187.0,0<x<14,x<0,0<x<13,0<x<24,x<0.0,NO
524,0.0<x<12677.0,51<x<77,0<x<24,0.0<x<15276.0,0.0<x<752187.0,29<x<43,0<x<24,13<x<27,x<0,0.0<x<5.0,NO
525,x<0.0,x>77,0<x<24,0.0<x<15276.0,x<0.0,29<x<43,0<x<24,x<0,x<0,x<0.0,NO
526,0.0<x<12677.0,x>77,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,x<0,0<x<24,0<x<13,0<x<24,5.0<x<10.0,YES
527,0.0<x<12677.0,x>77,0<x<24,15276.0<x<30553.0,x<0.0,x<0,0<x<24,0<x<13,0<x<24,x<0.0,NO
528,x<0.0,25<x<51,0<x<24,0.0<x<15276.0,x<0.0,x>43,0<x<24,13<x<27,0<x<24,0.0<x<5.0,YES
529,0.0<x<12677.0,0<x<25,0<x<24,x<0.0,0.0<x<752187.0,x>43,x<0,0<x<13,x<0,5.0<x<10.0,NO
530,x<0.0,25<x<51,x<0,15276.0<x<30553.0,x<0.0,x>43,0<x<24,x<0,x<0,5.0<x<10.0,NO
531,x<0.0,51<x<77,0<x<24,0.0<x<15276.0,0.0<x<752187.0,x>43,x<0,x<0,0<x<24,0.0<x<5.0,YES
532,0.0<x<12677.0,25<x<51,x<0,15276.0<x<30553.0,0.0<x<752187.0,x>43,x<0,x<0,x<0,0.0<x<5.0,NO
533,0.0<x<12677.0,0<x<25,0<x<24,x<0.0,0.0<x<752187.0,x>43,0<x<24,13<x<27,0<x<24,x<0.0,YES
534,0.0<x<12677.0,25<x<51,x<0,15276.0<x<30553.0,0.0<x<752187.0,0<x<14,0<x<24,13<x<27,x<0,5.0<x<10.0,NO
535,0.0<x<12677.0,0<x<25,x<0,x<0.0,x<0.0,x<0,x<0,13<x<27,0<x<24,x<0.0,NO
536,x<0.0,25<x<51,x<0,x<0.0,0.0<x<752187.0,0<x<14,x<0,13<x<27,x<0,5.0<x<10.0,NO
537,0.0<x<12677.0,51<x<77,0<x<24,x<0.0,x<0.0,x<0,x<0,0<x<13,x<0,x<0.0,NO
538,x<0.0,0<x<25,0<x<24,0.0<x<15276.0,x<0.0,0<x<14,x<0,0<x<13,x<0,5.0<x<10.0,NO
539,0.0<x<12677.0,0<x<25,0<x<24,0.0<x<15276.0,x<0.0,x>43,0<x<24,0<x<13,x<0,0.0<x<5.0,NO
540,x<0.0,25<x<51,0<x<24,0.0<x<15276.0,0.0<x<752187.0,0<x<14,x<0,x<0,0<x<24,0.0<x<5.0,NO
541,x<0.0,25<x<51,0<x<24,15276.0<x<30553.0,x<0.0,x<0,0<x<24,x<0,x<0,5.0<x<10.0,NO
542,0.0<x<12677.0,0<x<25,0<x<24,0.0<x<15276.0,x<0.0,x>43,0<x<24,13<x<27,0<x<24,0.0<x<5.0,YES
543,x<0.0,51<x<77,0<x<24,x<0.0,0.0<x<752187.0,29<x<43,x<0,0<x<13,0<x<24,5.0<x<10.0,YES
544,0.0<x<12677.0,51<x<77,x<0,x<0.0,0.0<x<752187.0,29<x<43,0<x<24,13<x<27,x<0,0.0<x<5.0,NO
545,x<0.0,0<x<25,x<0,15276.0<x<30553.0,0.0<x<752187.0,x<0,0<x<24,x<0,x<0,0.0<x<5.0,NO
546,0.0<x<12677.0,0<x<25,x<0,0.0<x<15276.0,x<0.0,x>43,x<0,0<x<13,x<0,0.0<x<5.0,NO
547,0.0<x<12677.0,51<x<77,x<0,0.0<x<15276.0,0.0<x<752187.0,14<x<29,0<x<24,0<x<13,0<x<24,5.0<x<10.0,YES
548,0.0<x<12677.0,x>77,x<0,15276.0<x<30553.0,x<0.0,29<x<43,0<x<24,13<x<27,0<x<24,x<0.0,NO
549,0.0<x<12677.0,51<x<77,0<x<24,0.0<x<15276.0,x<0.0,x>43,0<x<24,0<x<13,0<x<24,5.0<x<10.0,YES
550,0.0<x<12677.0,0<x<25,0<x<24,0.0<x<15276.0,x<0.0,29<x<43,x<0,13<x<27,0<x<24,x<0.0,NO
551,x<0.0,0<x<25,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,0<x<14,0<x<24,x<0,x<0,0.0<x<5.0,NO
552,x<0.0,51<x<77,x<0,0.0<x<15276.0,x<0.0,x<0,x<0,0<x<13,x<0,x<0.0,NO
553,0.0<x<12677.0,x>77,x<0,x<0.0,0.0<x<752187.0,0<x<14,0<x<24,13<x<27,0<x<24,x<0.0,NO
554,x<0.0,51<x<77,x<0,x<0.0,x<0.0,0<x<14,0<x<24,0<x<13,0<x<24,0.0<x<5.0,YES
555,0.0<x<12677.0,25<x<51,0<x<24,0.0<x<15276.0,x<0.0,14<x<29,x<0,x<0,0<x<24,5.0<x<10.0,NO
556,x<0.0,25<x<51,0<x<24,x<0.0,0.0<x<752187.0,x>43,x<0,0<x<13,0<x<24,0.0<x<5.0,YES
557,0.0<x<12677.0,x>77,x<0,15276.0<x<30553.0,x<0.0,29<x<43,x<0,13<x<27,x<0,0.0<x<5.0,NO
558,x<0.0,25<x<51,x<0,15276.0<x<30553.0,x<0.0,14<x<29,0<x<24,13<x<27,0<x<24,5.0<x<10.0,YES
559,x<0.0,25<x<51,x<0,0.0<x<15276.0,0.0<x<752187.0,29<x<43,x<0,x<0,x<0,5.0<x<10.0,NO
560,x<0.0,25<x<51,0<x<24,0.0<x<15276.0,0.0<x<752187.0,14<x<29,0<x<24,x<0,0<x<24,0.0<x<5.0,YES
561,0.0<x<12677.0,25<x<51,x<0,15276.0<x<30553.0,x<0.0,x>43,x<0,13<x<27,0<x<24,x<0.0,NO
562,0.0<x<12677.0,0<x<25,0<x<24,x<0.0,x<0.0,29<x<43,x<0,13<x<27,x<0,5.0<x<10.0,NO
563,x<0.0,x>77,x<0,15276.0<x<30553.0,0.0<x<752187.0,29<x<43,x<0,13<x<27,x<0,0.0<x<5.0,NO
564,0.0<x<12677.0,0<x<25,x<0,x<0.0,x<0.0,x<0,x<0,x<0,x<0,0.0<x<5.0,NO
565,0.0<x<12677.0,x>77,x<0,x<0.0,0.0<x<752187.0,14<x<29,x<0,13<x<27,0<x<24,5.0<x<10.0,NO
566,x<0.0,25<x<51,0<x<24,x<0.0,x<0.0,x<0,0<x<24,13<x<27,x<0,0.0<x<5.0,NO
567,x<0.0,51<x<77,0<x<24,0.0<x<15276.0,x<0.0,0<x<14,0<x<24,13<x<27,0<x<24,x<0.0,NO
568,x<0.0,25<x<51,0<x<24,x<0.0,0.0<x<752187.0,14<x<29,x<0,x<0,x<0,0.0<x<5.0,NO
569,x<0.0,51<x<77,0<x<24,x<0.0,0.0<x<752187.0,0<x<14,0<x<24,x<0,0<x<24,x<0.0,YES
570,0.0<x<12677.0,25<x<51,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,x<0,x<0,13<x<27,x<0,5.0<x<10.0,NO
571,0.0<x<12677.0,25<x<51,0<x<24,x<0.0,x<0.0,x<0,x<0,13<x<27,x<0,x<0.0,NO
572,x<0.0,25<x<51,0<x<24,0.0<x<15276.0,0.0<x<752187.0,14<x<29,0<x<24,0<x<13,x<0,x<0.0,NO
573,x<0.0,x>77,0<x<24,x<0.0,x<0.0,x<0,x<0,13<x<27,x<0,0.0<x<5.0,NO
574,0.0<x<12677.0,51<x<77,x<0,0.0<x<15276.0,0.0<x<752187.0,29<x<43,0<x<24,13<x<27,0<x<24,0.0<x<5.0,YES
575,0.0<x<12677.0,51<x<77,x<0,15276.0<x<30553.0,x<0.0,0<x<14,0<x<24,x<0,x<0,0.0<x<5.0,NO
576,0.0<x<12677.0,0<x<25,x<0,0.0<x<15276.0,0.0<x<752187.0,x>43,x<0,13<x<27,0<x<24,5.0<x<10.0,NO
577,0.0<x<12677.0,0<x<25,x<0,0.0<x<15276.0,x<0.0,29<x<43,x<0,13<x<27,0<x<24,0.0<x<5.0,NO
